project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	description
Chart.js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_FUNCTION	getValueOrDefault	valueOrDefault	src/helpers/helpers.core.js:1545-1661|(61,2)-(63,3)	src/helpers/helpers.core.js:1545-1658|(61,2)-(63,3)	Rename Method 1.1.getValueOrDefault(value ,defaultValue) renamed to 1.1.valueOrDefault(value ,defaultValue) at src/helpers/helpers.core.js|1.1.getValueOrDefault
Chart.js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	getValueOrDefault	valueOrDefault	src/core/core.tooltip.js:3614-3659|(144,6)-(144,51)	src/core/core.tooltip.js:3614-3653|(144,6)-(144,45)	Rename Variable getValueOrDefault to valueOrDefault in 1.getBaseModel(tooltipOpts) at src/core/core.tooltip.js|1.getBaseModel
Chart.js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	getValueOrDefault	valueOrDefault	src/core/core.ticks.js:3666-3711|(104,8)-(104,53)	src/core/core.ticks.js:3666-3705|(104,8)-(104,47)	Rename Variable getValueOrDefault to valueOrDefault in 1.1.1.logarithmic(generationOptions ,dataRange) at src/core/core.ticks.js|1.1.1.logarithmic
Chart.js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	getValueAtIndexOrDefault	valueAtIndexOrDefault	src/controllers/controller.doughnut.js:1259-1318|(49,11)-(49,70)	src/controllers/controller.doughnut.js:1259-1312|(49,11)-(49,64)	Rename Variable getValueAtIndexOrDefault to valueAtIndexOrDefault in 1.1.1.1.generateLabels.1(label ,i) at src/controllers/controller.doughnut.js|1.1.1.1.generateLabels.1
Chart.js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	getValueOrDefault	valueOrDefault	src/scales/scale.radialLinear.js:14576-14621|(470,7)-(470,52)	src/scales/scale.radialLinear.js:14546-14585|(470,7)-(470,46)	Rename Variable getValueOrDefault to valueOrDefault in 1.1.draw() at src/scales/scale.radialLinear.js|1.1.draw
Chart.js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	getValueOrDefault	valueOrDefault	src/scales/scale.radialLinear.js:6589-6634|(239,6)-(239,51)	src/scales/scale.radialLinear.js:6580-6619|(239,6)-(239,45)	Rename Variable getValueOrDefault to valueOrDefault in 1.drawPointLabels(scale) at src/scales/scale.radialLinear.js|1.drawPointLabels
Chart.js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	getValueOrDefault	valueOrDefault	src/core/core.scale.js:1276-1321|(64,6)-(64,51)	src/core/core.scale.js:1276-1315|(64,6)-(64,45)	Rename Variable getValueOrDefault to valueOrDefault in 1.parseFontOptions(options) at src/core/core.scale.js|1.parseFontOptions
Chart.js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	getValueOrDefault	valueOrDefault	src/scales/scale.logarithmic.js:460-505|(24,7)-(24,52)	src/scales/scale.logarithmic.js:460-499|(24,7)-(24,46)	Rename Variable getValueOrDefault to valueOrDefault in 1.1.determineDataLimits() at src/scales/scale.logarithmic.js|1.1.determineDataLimits
Chart.js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	itemOrDefault	valueOrDefault	src/plugins/plugin.legend.js:4677-4718|(195,4)-(195,45)	src/plugins/plugin.legend.js:4677-4716|(195,4)-(195,43)	Rename Variable itemOrDefault to valueOrDefault in 1.1.fit() at src/plugins/plugin.legend.js|1.1.fit
Chart.js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	itemOrDefault	valueOrDefault	src/plugins/plugin.legend.js:8315-8356|(314,5)-(314,46)	src/plugins/plugin.legend.js:8316-8355|(314,5)-(314,44)	Rename Variable itemOrDefault to valueOrDefault in 1.1.draw() at src/plugins/plugin.legend.js|1.1.draw
