project	commitId	RefactoringType	NameBefore	NameAfter	LocationBefore	LocationAfter	Refactoring
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	core.layoutService.tests.js	core.layoutService.tests.js	test/core.layoutService.tests.js:0-11155|(1,0)-(433,0)	test/specs/core.layoutService.tests.js:0-11155|(1,0)-(433,0)	Move File test/core.layoutService.tests.js to test/specs/core.layoutService.tests.js
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	core.title.tests.js	core.title.tests.js	test/core.title.tests.js:0-5564|(1,0)-(273,0)	test/specs/core.title.tests.js:0-5564|(1,0)-(273,0)	Move File test/core.title.tests.js to test/specs/core.title.tests.js
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	scale.radialLinear.tests.js	scale.radialLinear.tests.js	test/scale.radialLinear.tests.js:0-10682|(1,0)-(446,0)	test/specs/scale.radialLinear.tests.js:0-10682|(1,0)-(446,0)	Move File test/scale.radialLinear.tests.js to test/specs/scale.radialLinear.tests.js
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	controller.polarArea.tests.js	controller.polarArea.tests.js	test/controller.polarArea.tests.js:0-10097|(1,0)-(358,0)	test/specs/controller.polarArea.tests.js:0-10097|(1,0)-(358,0)	Move File test/controller.polarArea.tests.js to test/specs/controller.polarArea.tests.js
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	core.legend.tests.js	core.legend.tests.js	test/core.legend.tests.js:0-9038|(1,0)-(433,0)	test/specs/core.legend.tests.js:0-9038|(1,0)-(433,0)	Move File test/core.legend.tests.js to test/specs/core.legend.tests.js
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	core.plugin.tests.js	core.plugin.tests.js	test/core.plugin.tests.js:0-8862|(1,0)-(345,0)	test/specs/core.plugin.tests.js:0-8862|(1,0)-(345,0)	Move File test/core.plugin.tests.js to test/specs/core.plugin.tests.js
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	controller.doughnut.tests.js	controller.doughnut.tests.js	test/controller.doughnut.tests.js:0-10238|(1,0)-(353,0)	test/specs/controller.doughnut.tests.js:0-10238|(1,0)-(353,0)	Move File test/controller.doughnut.tests.js to test/specs/controller.doughnut.tests.js
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_AND_RENAME_FILE	defaultConfig.tests.js	global.defaults.tests.js	test/defaultConfig.tests.js:0-7485|(1,0)-(297,0)	test/specs/global.defaults.tests.js:0-7485|(1,0)-(297,0)	Move And Rename File test/defaultConfig.tests.js moved and renamed to test/specs/global.defaults.tests.js
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	RENAME_FILE	mockContext.js	jasmine.context.js	test/mockContext.js:0-9426|(1,0)-(349,0)	test/jasmine.context.js:0-2832|(1,0)-(126,0)	Rename File test/mockContext.js renamed to test/jasmine.context.js
chart-js	ce27fe5ea6040523a61cef198ccc1e866d07ad82	RENAME_FILE	core.layoutService.js	core.layout.js	src/core/core.layoutService.js:0-15063|(1,0)-(423,0)	src/core/core.layout.js:0-14667|(1,0)-(420,0)	Rename File src/core/core.layoutService.js renamed to src/core/core.layout.js
chart-js	d81afc8b5a0f4f27d9d81f1dd748a7a01e7365c0	RENAME_METHOD	determineUnit	determineUnitForAutoTicks	src/scales/scale.time.js:6407-6833|(256,0)-(270,1)	src/scales/scale.time.js:6497-6935|(259,0)-(273,1)	Rename Method determineUnit(minUnit ,min ,max ,capacity) renamed to determineUnitForAutoTicks(minUnit ,min ,max ,capacity) at src/scales/scale.time.js|determineUnit
