project	commitId	RefactoringType	NameBefore	NameAfter	LocationBefore	LocationAfter	Refactoring
chart-js	d81afc8b5a0f4f27d9d81f1dd748a7a01e7365c0	REMOVE_PARAMETER					Remove Parameter minor in method generate(min ,max ,minor ,major ,capacity ,options) from src/scales/scale.time.js|generate
chart-js	d81afc8b5a0f4f27d9d81f1dd748a7a01e7365c0	REMOVE_PARAMETER					Remove Parameter major in method generate(min ,max ,minor ,major ,capacity ,options) from src/scales/scale.time.js|generate
chart-js	ecc35c527b8d91c2bdbc2cdc97ef667adfe7e3a3	RENAME_VARIABLE	e	chartEvent	src/core/core.controller.js:21764-21765|(743,25)-(743,26)	src/core/core.controller.js:17424-17476|(619,7)-(619,59)	Rename Variable e to chartEvent in 1.2.eventHandler(e) at src/core/core.controller.js|1.2.eventHandler
chart-js	f3816b560c0cec6736b47c456c473e46bdc56498	RENAME_FILE	core.title.tests.js	plugin.title.tests.js	test/specs/core.title.tests.js:0-5564|(1,0)-(273,0)	test/specs/plugin.title.tests.js:0-5564|(1,0)-(273,0)	Rename File test/specs/core.title.tests.js renamed to test/specs/plugin.title.tests.js
chart-js	f3816b560c0cec6736b47c456c473e46bdc56498	RENAME_FILE	core.legend.tests.js	plugin.legend.tests.js	test/specs/core.legend.tests.js:0-9038|(1,0)-(433,0)	test/specs/plugin.legend.tests.js:0-9038|(1,0)-(433,0)	Rename File test/specs/core.legend.tests.js renamed to test/specs/plugin.legend.tests.js
chart-js	f3816b560c0cec6736b47c456c473e46bdc56498	MOVE_AND_RENAME_FILE	core.legend.js	plugin.legend.js	src/core/core.legend.js:0-15144|(1,0)-(546,0)	src/plugins/plugin.legend.js:0-15096|(1,0)-(545,0)	Move And Rename File src/core/core.legend.js moved and renamed to src/plugins/plugin.legend.js
chart-js	f3816b560c0cec6736b47c456c473e46bdc56498	MOVE_AND_RENAME_FILE	core.title.js	plugin.title.js	src/core/core.title.js:0-5460|(1,0)-(228,0)	src/plugins/plugin.title.js:0-5413|(1,0)-(227,0)	Move And Rename File src/core/core.title.js moved and renamed to src/plugins/plugin.title.js
chart-js	f97cab12b1c4db4d5782d92f95e362093ad31860	RENAME_METHOD	drawCaret	getCaretPosition	src/core/core.tooltip.js:16355-17940|(559,2)-(628,3)	src/core/core.tooltip.js:16682-18024|(568,2)-(627,3)	Rename Method 1.1.drawCaret(tooltipPoint ,size ,opacity) renamed to 1.1.getCaretPosition(tooltipPoint ,size ,vm) at src/core/core.tooltip.js|1.1.drawCaret
chart-js	b64cab004669a010025e4641eb7f359c4035f6b9	EXTRACT_OPERATION	draw	drawBackground	src/core/core.tooltip.js:19539-20513|(673,2)-(713,3)	src/core/core.tooltip.js:19539-19850|(673,2)-(678,3)	Extract Method 1.1.drawBackground(pt ,vm ,ctx ,tooltipSize ,opacity) extracted from 1.1.draw() in  1.1 in file src/core/core.tooltip.js

16:35:07.312 [main] INFO  io.jsrminer.JSRefactoringMiner - Analyzed chart-js [Commits: 61, Errors: 0, Refactorings: 60]
16:35:07.314 [main] INFO  io.jsrminer.JSRefactoringMiner - Total Duration for 61 commits: 1.998 min
16:35:07.314 [main] INFO  io.jsrminer.Main - -----------------Program Ends--------------------

BUILD SUCCESSFUL in 2m 2s
3 actionable tasks: 2 executed, 1 up-to-date
4:35:08 PM: Task execution finished ':Main.main()'.
