project	commit_Id	Refactoring_Type	Name_Before	Name_After	Location_Before	Location_After	Refactoring
angular.js	60069e67aeb0352a7849ebfef15a6183bc3b7235	PARAMETERIZE_VARIABLE					Parameterize Variable lastRoute to oldRoute in $RouteProvider.4.isNavigationUpdateOnly(newRoute ,oldRoute) at src/ngRoute/route.js|$RouteProvider.4.isNavigationUpdateOnly
angular.js	641e13acc180000a8b1293a1bf9dfef29673e2ea	RENAME_VARIABLE	node	html	test/helpers/testabilityPatch.js:1525-1569|(59,6)-(59,50)	test/helpers/testabilityPatch.js:1740-1772|(62,6)-(62,38)	Rename Variable node to html in 2() at test/helpers/testabilityPatch.js|2
angular.js	7e2e235cf25389a59ea957631ff07c6cc8a3ad32	ADD_PARAMETER					Add Parameter reason in method createHttpBackend.1.timeoutRequest(reason) atsrc/ng/httpBackend.js|createHttpBackend.1.timeoutRequest
angular.js	7e2e235cf25389a59ea957631ff07c6cc8a3ad32	ADD_PARAMETER					Add Parameter reason in method createHttpBackendMock.$httpBackend.wrapResponse.handlePrematureEnd(reason) atsrc/ngMock/angular-mocks.js|createHttpBackendMock.$httpBackend.wrapResponse.handlePrematureEnd
angular.js	7e2e235cf25389a59ea957631ff07c6cc8a3ad32	RENAME_FUNCTION	handleTimeout	handlePrematureEnd	src/ngMock/angular-mocks.js:43688-43973|(1397,6)-(1405,7)	src/ngMock/angular-mocks.js:43847-44140|(1401,6)-(1409,7)	Rename Method createHttpBackendMock.$httpBackend.wrapResponse.handleTimeout() renamed to createHttpBackendMock.$httpBackend.wrapResponse.handlePrematureEnd(reason) at src/ngMock/angular-mocks.js|createHttpBackendMock.$httpBackend.wrapResponse.handleTimeout
angular.js	8d6ac5f3178cb6ead6b3b7526c50cd1c07112097	RENAME_FUNCTION	toMap	arrayToMap	src/ngSanitize/sanitize.js:12678-12892|(302,2)-(308,3)	src/ngSanitize/sanitize.js:17105-17302|(409,2)-(415,3)	Rename Method $SanitizeProvider.toMap(str ,lowercaseKeys) renamed to $SanitizeProvider.arrayToMap(items ,lowercaseKeys) at src/ngSanitize/sanitize.js|$SanitizeProvider.toMap
angular.js	8e104ee508418bc2ebb65e5b4ac73d22285cc224	RENAME_VARIABLE	controllerDirective	directive	src/ng/compile.js:126920-126968|(2814,14)-(2814,62)	src/ng/compile.js:126762-126800|(2811,16)-(2811,54)	Rename Variable controllerDirective to directive in $CompileProvider.10.applyDirectivesToNode.nodeLinkFn(childLinkFn ,scope ,linkNode ,$rootElement ,boundTranscludeFn) at src/ng/compile.js|$CompileProvider.10.applyDirectivesToNode.nodeLinkFn
angular.js	af0ad6561c0d75c4f155b07e9cfc36a983af55bd	MOVE_FUNCTION	toJson	toJson	src/JSON.js:692-790|(30,0)-(32,1)	src/Angular.js:20073-20173|(760,0)-(762,1)	Move Method    toJson(obj ,pretty) from JSON.js to toJson(obj ,pretty) at Angular.js
angular.js	af0ad6561c0d75c4f155b07e9cfc36a983af55bd	MOVE_FUNCTION	fromJson	fromJson	src/JSON.js:1030-1120|(45,0)-(49,1)	src/Angular.js:20414-20504|(776,0)-(780,1)	Move Method    fromJson(json) from JSON.js to fromJson(json) at Angular.js
angular.js	b7d396b8b6e8f27a1f4556d58fc903321e8d532a	EXTRACT_FUNCTION	jqLiteRemoveData	removeIfEmptyData	src/jqLite.js:13285-13796|(352,0)-(371,1)	src/jqLite.js:12332-12762|(323,0)-(334,1)	Extract Method removeIfEmptyData(element) extracted from jqLiteRemoveData(element ,name) in  jqLite.js in file src/jqLite.js
angular.js	d9ca2459172a3ad62f0a19b8b1306d739c4b75b7	EXTRACT_FUNCTION	anonFn	extractArgs	src/auto/injector.js:2344-2675|(71,0)-(80,1)	src/auto/injector.js:2344-2481|(71,0)-(75,1)	Extract Method extractArgs(fn) extracted from anonFn(fn) in  injector.js in file src/auto/injector.js
angular.js	de74034ddf6f92505ccdb61be413a6df2c723f87	EXTRACT_FUNCTION	$parse	addWatchDelegate	src/ng/parse.js:57500-58783|(1783,4)-(1819,5)	src/ng/parse.js:62724-63138|(1928,4)-(1938,5)	Extract Method $ParseProvider.3.addWatchDelegate(parsedExpression) extracted from $ParseProvider.3.$parse(exp ,interceptorFn) in  $ParseProvider.3 in file src/ng/parse.js
angular.js	de74034ddf6f92505ccdb61be413a6df2c723f87	EXTRACT_FUNCTION	addInterceptor	addWatchDelegate	src/ng/parse.js:63058-65129|(1934,4)-(1979,5)	src/ng/parse.js:62724-63138|(1928,4)-(1938,5)	Extract Method $ParseProvider.3.addWatchDelegate(parsedExpression) extracted from $ParseProvider.3.addInterceptor(parsedExpression ,interceptorFn) in  $ParseProvider.3 in file src/ng/parse.js
angular.js	de74034ddf6f92505ccdb61be413a6df2c723f87	PARAMETERIZE_VARIABLE					Parameterize Variable fn to parsedExpression in $ParseProvider.3.addWatchDelegate(parsedExpression) at src/ng/parse.js|$ParseProvider.3.addWatchDelegate
angular.js	e9bf93d510a6a0c105d8f5d036ec35c7ce08a588	RENAME_FUNCTION	int	toInt	src/Angular.js:9745-9794|(360,0)-(362,1)	src/Angular.js:9747-9798|(360,0)-(362,1)	Rename Method int(str) renamed to toInt(str) at src/Angular.js|int
angular.js	e9bf93d510a6a0c105d8f5d036ec35c7ce08a588	RENAME_FUNCTION	int	toInt	src/ngMock/angular-mocks.js:15906-15955|(590,0)-(592,1)	src/ngMock/angular-mocks.js:15924-15975|(590,0)-(592,1)	Rename Method int(str) renamed to toInt(str) at src/ngMock/angular-mocks.js|int
angular.js	fd4f0111188b62773b99ab6eab38b4d2b5d8d727	RENAME_VARIABLE	deepWatch	isLiteral	src/ng/compile.js:156747-156776|(3526,16)-(3526,45)	src/ng/compile.js:156747-156776|(3526,16)-(3526,45)	Rename Variable deepWatch to isLiteral in $CompileProvider.10.initializeDirectiveBindings.1(definition ,scopeName) at src/ng/compile.js|$CompileProvider.10.initializeDirectiveBindings.1
