project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	description
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_VARIABLE	renderExpirationTime	oldState	Libraries/Renderer/oss/ReactNativeRenderer-prod.js:72009-72029|(2096,55)-(2096,75)	Libraries/Renderer/oss/ReactNativeRenderer-prod.js:77134-77173|(2213,10)-(2213,49)	Rename Variable renderExpirationTime to oldState in ReactFiberClassComponent.1.resumeMountClassInstance(workInProgress ,renderExpirationTime) at Libraries/Renderer/oss/ReactNativeRenderer-prod.js|ReactFiberClassComponent.1.resumeMountClassInstance
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_VARIABLE	_updateQueue3	getDerivedStateFromProps	Libraries/Renderer/oss/ReactNativeRenderer-prod.js:77695-77737|(2242,12)-(2242,54)	Libraries/Renderer/oss/ReactNativeRenderer-prod.js:79738-79794|(2285,10)-(2285,66)	Rename Variable _updateQueue3 to getDerivedStateFromProps in ReactFiberClassComponent.1.updateClassInstance(current ,workInProgress ,renderExpirationTime) at Libraries/Renderer/oss/ReactNativeRenderer-prod.js|ReactFiberClassComponent.1.updateClassInstance
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_VARIABLE	derivedStateFromProps	newState	Libraries/Renderer/oss/ReactNativeRenderer-prod.js:77148-77178|(2229,10)-(2229,40)	Libraries/Renderer/oss/ReactNativeRenderer-prod.js:80372-80412|(2299,10)-(2299,50)	Rename Variable derivedStateFromProps to newState in ReactFiberClassComponent.1.updateClassInstance(current ,workInProgress ,renderExpirationTime) at Libraries/Renderer/oss/ReactNativeRenderer-prod.js|ReactFiberClassComponent.1.updateClassInstance
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	ADD_PARAMETER		currentTime		Libraries/Renderer/oss/ReactNativeRenderer-prod.js:150684-150695|(4304,6)-(4304,17)	Add Parameter currentTime in method ReactFiberCommitWork.1.commitLifeCycles(finishedRoot ,current ,finishedWork ,currentTime ,committedExpirationTime) atLibraries/Renderer/oss/ReactNativeRenderer-prod.js|ReactFiberCommitWork.1.commitLifeCycles
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	ADD_PARAMETER		committedExpirationTime		Libraries/Renderer/oss/ReactNativeRenderer-prod.js:150703-150726|(4305,6)-(4305,29)	Add Parameter committedExpirationTime in method ReactFiberCommitWork.1.commitLifeCycles(finishedRoot ,current ,finishedWork ,currentTime ,committedExpirationTime) atLibraries/Renderer/oss/ReactNativeRenderer-prod.js|ReactFiberCommitWork.1.commitLifeCycles
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_VARIABLE	_instance8	_instance7	Libraries/Renderer/oss/ReactNativeRenderer-prod.js:150133-150168|(4311,14)-(4311,49)	Libraries/Renderer/oss/ReactNativeRenderer-prod.js:149267-149302|(4261,14)-(4261,49)	Rename Variable _instance8 to _instance7 in ReactFiberCommitWork.1.commitWork(current ,finishedWork) at Libraries/Renderer/oss/ReactNativeRenderer-prod.js|ReactFiberCommitWork.1.commitWork
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_VARIABLE	_instance6	_instance5	Libraries/Renderer/oss/ReactNativeRenderer-prod.js:155916-155951|(4461,12)-(4461,47)	Libraries/Renderer/oss/ReactNativeRenderer-prod.js:153344-153379|(4382,12)-(4382,47)	Rename Variable _instance6 to _instance5 in ReactFiberCommitWork.1.commitAttachRef(finishedWork) at Libraries/Renderer/oss/ReactNativeRenderer-prod.js|ReactFiberCommitWork.1.commitAttachRef
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	PARAMETERIZE_VARIABLE	prevProps	committedExpirationTime	Libraries/Renderer/oss/ReactNativeRenderer-prod.js:151921-151954|(4360,18)-(4360,51)	Libraries/Renderer/oss/ReactNativeRenderer-prod.js:150703-150726|(4305,6)-(4305,29)	Parameterize Variable prevProps to committedExpirationTime in ReactFiberCommitWork.1.commitLifeCycles(finishedRoot ,current ,finishedWork ,currentTime ,committedExpirationTime) at Libraries/Renderer/oss/ReactNativeRenderer-prod.js|ReactFiberCommitWork.1.commitLifeCycles
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_VARIABLE	_instance7	_instance6	Libraries/Renderer/oss/ReactNativeRenderer-prod.js:141671-141701|(4063,12)-(4063,42)	Libraries/Renderer/oss/ReactNativeRenderer-prod.js:140952-140982|(4018,12)-(4018,42)	Rename Variable _instance7 to _instance6 in ReactFiberCommitWork.commitUnmount(current) at Libraries/Renderer/oss/ReactNativeRenderer-prod.js|ReactFiberCommitWork.commitUnmount
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_FUNCTION	getCurrentFiberStackAddendum	getCurrentFiberStackAddendum$1	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:157545-157896|(4907,0)-(4918,1)	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:157316-157669|(4899,0)-(4910,1)	Rename Method 1.getCurrentFiberStackAddendum() renamed to 1.getCurrentFiberStackAddendum$1() at Libraries/Renderer/oss/ReactNativeRenderer-dev.js|1.getCurrentFiberStackAddendum
