project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	description
react	5c6a496d98b80d19d851c2ec3a56d760b7118a50	MOVE_FILE	KeyEscapeUtils.js	KeyEscapeUtils.js	src/shared/utils/KeyEscapeUtils.js:0-1374|(1,0)-(61,0)	src/renderers/shared/stack/reconciler/KeyEscapeUtils.js:0-1538|(1,0)-(66,0)	Move File src/shared/utils/KeyEscapeUtils.js to src/renderers/shared/stack/reconciler/KeyEscapeUtils.js
react	5c6a496d98b80d19d851c2ec3a56d760b7118a50	ADD_PARAMETER		unescapeInDev		src/isomorphic/children/flattenChildren.js:948-987|(30,2)-(30,41)	Add Parameter unescapeInDev in method flattenSingleChildIntoContext(traverseContext ,child ,name ,selfDebugID ,unescapeInDev) atsrc/isomorphic/children/flattenChildren.js|flattenSingleChildIntoContext
react	5c6a496d98b80d19d851c2ec3a56d760b7118a50	MOVE_FUNCTION	getIteratorFn	getIteratorFn	src/shared/utils/getIteratorFn.js:885-1166|(33,0)-(41,1)	src/renderers/shared/fiber/ReactChildFiber.js:3296-3662|(108,0)-(119,1)	Move Method    getIteratorFn(maybeIterable) from getIteratorFn.js to getIteratorFn(maybeIterable) at ReactChildFiber.js
react	6144212a8634948faf18cce8211c71e6f9d0667e	RENAME_VARIABLE	scheduleLowPriWork	scheduleDeferredWork	src/renderers/shared/fiber/ReactFiberBeginWork.js:4312-4351|(120,10)-(120,49)	src/renderers/shared/fiber/ReactFiberBeginWork.js:4312-4353|(120,10)-(120,51)	Rename Variable scheduleLowPriWork to scheduleDeferredWork in 1.scheduleUpdate(fiber ,updateQueue ,priorityLevel) at src/renderers/shared/fiber/ReactFiberBeginWork.js|1.scheduleUpdate
react	6144212a8634948faf18cce8211c71e6f9d0667e	RENAME_FUNCTION	performLowPriWork	performDeferredWork	src/renderers/shared/fiber/ReactFiberScheduler.js:8311-8844|(220,2)-(236,3)	src/renderers/shared/fiber/ReactFiberScheduler.js:8477-9016|(226,2)-(242,3)	Rename Method 1.performLowPriWork(deadline) renamed to 1.performDeferredWork(deadline) at src/renderers/shared/fiber/ReactFiberScheduler.js|1.performLowPriWork
react	6144212a8634948faf18cce8211c71e6f9d0667e	RENAME_FUNCTION	scheduleLowPriWork	scheduleDeferredWork	src/renderers/shared/fiber/ReactFiberScheduler.js:8848-9663|(238,2)-(261,3)	src/renderers/shared/fiber/ReactFiberScheduler.js:9020-10070|(244,2)-(273,3)	Rename Method 1.scheduleLowPriWork(root ,priority) renamed to 1.scheduleDeferredWork(root ,priority) at src/renderers/shared/fiber/ReactFiberScheduler.js|1.scheduleLowPriWork
react	6144212a8634948faf18cce8211c71e6f9d0667e	RENAME_VARIABLE	scheduleLowPriCallback	scheduleDeferredCallback	src/renderers/shared/fiber/ReactFiberScheduler.js:1569-1623|(49,8)-(49,62)	src/renderers/shared/fiber/ReactFiberScheduler.js:1631-1689|(52,8)-(52,66)	Rename Variable scheduleLowPriCallback to scheduleDeferredCallback in 1(config) at src/renderers/shared/fiber/ReactFiberScheduler.js|1
react	6144212a8634948faf18cce8211c71e6f9d0667e	RENAME_VARIABLE	scheduleHighPriCallback	scheduleAnimationCallback	src/renderers/dom/fiber/ReactDOMFiber.js:2304-2332|(81,27)-(81,55)	src/renderers/dom/fiber/ReactDOMFiber.js:2306-2334|(81,29)-(81,57)	Rename Variable scheduleHighPriCallback to scheduleAnimationCallback in 1() at src/renderers/dom/fiber/ReactDOMFiber.js|1
react	6144212a8634948faf18cce8211c71e6f9d0667e	RENAME_VARIABLE	scheduleLowPriCallback	scheduleDeferredCallback	src/renderers/dom/fiber/ReactDOMFiber.js:2361-2387|(83,26)-(83,52)	src/renderers/dom/fiber/ReactDOMFiber.js:2365-2391|(83,28)-(83,54)	Rename Variable scheduleLowPriCallback to scheduleDeferredCallback in 1() at src/renderers/dom/fiber/ReactDOMFiber.js|1
react	6144212a8634948faf18cce8211c71e6f9d0667e	RENAME_FUNCTION	scheduleHighPriCallback	scheduleDeferredCallback	src/renderers/noop/ReactNoop.js:2699-2779|(91,2)-(93,3)	src/renderers/noop/ReactNoop.js:2854-2936|(98,2)-(100,3)	Rename Method 1.scheduleHighPriCallback(callback) renamed to 1.scheduleDeferredCallback(callback) at src/renderers/noop/ReactNoop.js|1.scheduleHighPriCallback
