commit_id	ms
cb9dc432ac2e4c2fb586f3131ce2a0e1376a28a1	5209
06903c44a2d9c8cb0a57373999e0596aa51d5627	1666
06ba5ebad10fc6d7192b0c522fc4941c2807d416	661
27a5b9a172a532c54e9ad75bdaa7434652409198	1992
2a808c6e455c5053536a3caf7a9dac48dee13c03	1988
35ae830a7c4544582ed2759e5b18c5d6ef37c6d9	34747
5a1fb62e49d796cff22e1bf848f363aaedbef9fe	32948
5ed9d6cf803c4283c948c6c47ff278f6ecb22d0d	2352
6d916aed6b31f4d860efb52f6b94e3d3ce49d1ba	577
73f083710d64acb493f55ba2c07e24c5a7f62899	625
7f0a1234c2d6726f625740595455ff5274f7d5f6	1079
847ecb4d678f9f40b31dd7139bc40b2cffa34830	715
8e8589c88105b4f9258867f61aadd70c9fccffaa	768
99d5b58a771fc09377d7393e913fc641f5d9aece	32141
a4b52f8cb5569c69d3801e5b4ba236cd75fdfde9	109802
a879d8d05be150ba3f2790be6212d92215558269	558
b55374012d1842c3c536b757adc7ad9ff5caa68d	1459
ba4489ded66212ac9e6d3017a6bb856023bd026f	32009
c209347254eff973802088c7e4e336490db2597e	427
c9bb04c1b000b02c153b71ace001b9cae5872fcc	696
ca803d97c0e4fab6eadd3f745f3068443e8ca1f4	798
cb9dc432ac2e4c2fb586f3131ce2a0e1376a28a1	950
cc3d60f8d860326264ca7416b25ffca5386a9a27	1141
e6c13503ac9a467f78bfe39f7a2c8fe4219308ec	32344
f0e7bdc1de54a1b896089d819872111a86aa4185	1303
f3f33b5c5a661c04062cd0b8bf98f74d85e2abb7	1364
9a49f0b4e0b43b1d8547f9ee439d42	2482
ab33b31f0a2892852903785893a4fa68862aa73d	2150
af270a909cdbf0de6edd25dfac4aeae0a58e8ab7	2375
bede9a22e86bb1c8debb945ccdfb22265393297d	2665
dfb39b4c96d86ebabc63bcae22a74afa99af66ca	1097
e29c706533c227682cfde1ac0b187e90738b9bbc	1885
e3a3d3aa0aa1806e20bffb0ff4c307ec6cc89964	528
ef9cbbbbb92560f1ffd41dce23a584474922fe16	2030
fab28362ce2f46929c41cc1252281a7757b4695f	8073
0fa58217adef109e22faa3722d2d4f30bef71ac5	3406
1b48f527eb73d6bc4b1af2e94d52f51c32cec3c3	23306
27ff17b55b2c3af03bf3c1fa7449a44a40f7bafe	2805
2c26746dcedcc1610ab2c4ce0b64c218ab324547	3169
3b802c33c1aeb7473637e0362f26670c53158d3f	2988
6bc1c5ec4bdaf349e8ac5877f9fee0139a138d9d	19669
775df0e06179e5330a684379eb8b604718e41ed5	1421
789d020a3996e3d52fdb5206b159fc88762b3dac	27031
7e37d4a098a51c0a888ca273b07d1423e21eef7c	17132
8b38f91c51ab112897b2e4e63e5acd6f85cbdd8f	17453
9f1f6ab4cda3742e472a809dae71a2555a2ce354	27983
aa0c9ce453519bd339ea9adfd61f8763a0336c82	3080
bd6e37c5d0b1384e60ba552c9e517a1e938d26b6	1592
bef9b4632b91304d39d6d2ef0b2e0eea7c92790b	28644
edda7f888d6457d796b3c06a708355885698eb6f	19614
f725b162e70896e38257965424ac7f9af486b927	1100
2b1a5afe6c3a07ee8f63118775b1af339a3b67d2	671
3aa3213b13e914a668a76bc5eab1cef80708bf01	553
3b5f4339a7b73c449684707f021c3f4aa2e01b13	569
44a79f9cee892f607d038a9949243f91a2aa31e6	547
463d7a16a139981f1eead005b388f720be0989bd	504
5a123beea597c9fda7b722f18343fdc2c2755e79	2973
852a9d34dfae0fa9344805105511cb18d1e375a3	536
8a3781499d3c88cdcafb90fbcd762e04da5552f0	472
94df7bcdfd5696c63aff496d850ff0305b019e67	3126
c0c79f019e7138194e438339f8192705957c8ec3	3336
d286ba2064e516c4643e48222b60af404aad31e4	382
fc34c7d7a489a37a83de2e2af6ffcc41351110fa	434
01b263d3362f8bab63dc26b04e4a7ac1fb1d2641	2484
06903c44a2d9c8cb0a57373999e0596aa51d5627	1480
06ba5ebad10fc6d7192b0c522fc4941c2807d416	563
27a5b9a172a532c54e9ad75bdaa7434652409198	1818
2a808c6e455c5053536a3caf7a9dac48dee13c03	1801
35ae830a7c4544582ed2759e5b18c5d6ef37c6d9	32379
5a1fb62e49d796cff22e1bf848f363aaedbef9fe	34389
5ed9d6cf803c4283c948c6c47ff278f6ecb22d0d	2235
6d916aed6b31f4d860efb52f6b94e3d3ce49d1ba	775
73f083710d64acb493f55ba2c07e24c5a7f62899	757
7f0a1234c2d6726f625740595455ff5274f7d5f6	1267
847ecb4d678f9f40b31dd7139bc40b2cffa34830	775
8e8589c88105b4f9258867f61aadd70c9fccffaa	907
99d5b58a771fc09377d7393e913fc641f5d9aece	35464
a4b52f8cb5569c69d3801e5b4ba236cd75fdfde9	122359
a879d8d05be150ba3f2790be6212d92215558269	1705
b55374012d1842c3c536b757adc7ad9ff5caa68d	2237
ba4489ded66212ac9e6d3017a6bb856023bd026f	39836
c209347254eff973802088c7e4e336490db2597e	1696
c9bb04c1b000b02c153b71ace001b9cae5872fcc	828
ca803d97c0e4fab6eadd3f745f3068443e8ca1f4	1012
cb9dc432ac2e4c2fb586f3131ce2a0e1376a28a1	1100
cc3d60f8d860326264ca7416b25ffca5386a9a27	1185
e6c13503ac9a467f78bfe39f7a2c8fe4219308ec	35579
f0e7bdc1de54a1b896089d819872111a86aa4185	1566
f3f33b5c5a661c04062cd0b8bf98f74d85e2abb7	1570
