commit_id	ms
0125813f213662ec1d9bb4a456f5671adcff9d83	46861
06c05e744d8af9582bde348210f254d76dae48b9	633
166264d63b28582e31d083fab96ef46bc02ea469	39326
1d6ce2311f6a51821b33c5473414d70c8bd34425	729
2f4ca831bfd936be9ae71a8a5700003abb65a0f5	13141
369e30f6859bc6af2a97670217ba142691bd49d9	789
4435f087713e1d0ac3639e3b3196d71c6402898e	1574
488a4c7e1c86ac5900ff9194106511fbf5a8e3cb	609
5259450c143f71c65e157d6b7d3f0e1655eb7aa1	465
57daad98f01b59fce9cb9bf663fd0b191c56b232	575
5d4c542c58d84bbe05f76bf01d9efdd9d438572c	674
7014a30baae0b01378740113d15e4a7d721d916a	765
83169c95a3525fcb74e34853022475093b9a1a77	143118
95e8592dcb9b50772336d2801f46305fdc95250d	548
970caa4552d4ba87c1a954391535ff42b00832e7	424
9fbff62b5ff9b3effb18f135e1cd9bd34a83c985	677
a50b4ea7b9ecc4c95a38b58f12a71b93ff3a3131	2076
a90d0e3614c467c33cf85bcbe65be71903d5aecc	602
ad67f556fb145d38fe547e1e8baa73ccc7a431b0	506
b549e364e0025e0e1b4005f04a9de2d767006da1	498
be32cbef007dada23bf830b3b12df8beefbbdac6	496
c749d951ada829c6f6fb76f35e68142e61054433	3820997
c948ae81686e2345d155577b4ff9f43f50021e99	5990
d1336ab16efc26449509b938dd46cf606d3caf34	570
e708010d18f938e2d6b6424cfc9485d8e5dd2800	786
f59e5a8d28491c64e4d0c08fec3a2b0b3fabb38b	13799
f6da9e1a9a932d2775cc998469d2f9b4ebd858c5	527
f80000b9e72596392567a3deda59441e43f6327d	451
f8c8231706492b588331354d45b833aa21434e13	462
fbd1beaf666be9c09a380784f8c0cd34ba083a6b	546
