commit_id	ms
2b1a5afe6c3a07ee8f63118775b1af339a3b67d2	823
3aa3213b13e914a668a76bc5eab1cef80708bf01	376
3b5f4339a7b73c449684707f021c3f4aa2e01b13	330
44a79f9cee892f607d038a9949243f91a2aa31e6	317
463d7a16a139981f1eead005b388f720be0989bd	286
5a123beea597c9fda7b722f18343fdc2c2755e79	1372
852a9d34dfae0fa9344805105511cb18d1e375a3	301
8a3781499d3c88cdcafb90fbcd762e04da5552f0	286
94df7bcdfd5696c63aff496d850ff0305b019e67	1439
c0c79f019e7138194e438339f8192705957c8ec3	1524
d286ba2064e516c4643e48222b60af404aad31e4	212
fc34c7d7a489a37a83de2e2af6ffcc41351110fa	245
