commit_id	ms
03735563f44e1ae108f83b9c7ee946f8818c92c3	2321
16bcd6adc579cb3deae16ea915680bc219924cdc	756
182270ef9b1bc9fab1cefc89ce1e94a41f4d754f	347
1833614e1d8a82c6c111ce8d1d31eba6df22e7ee	476
1cbba830fdef5ac25f997deb5ae0683db9321a79	434
1eeffa3d584cdd8d1f54b7455487ae9b13478ebe	455
2409908027a3762f142a04e7583bd2e88681a867	925
26c1936dee7dcc2f00b63af9bb04e9af1703e461	913
2922dc96cfd3c3448538c19c02b349fe939f16eb	728
2e5df0ff42c9ec542bd7c88de8f88f50a8ad5864	915
312773ba7b7e2acf6cd1273c92017d3c197a992b	1150
3187a788e17f79ad69da509748aeb64cdbac48f0	663
326991ce50c36fd714aefc5bafd4cbe53806051f	832
333f2eba99e29ae643671edbef08a245cae9743c	871
35dcfe00b1ae7199f8ed6c3748a72f4700c9876d	1156
447ca40a7f8baa2ec55f3388e02cabcfe8cbfadc	344
4741c6f09da431e75fa860b4e08417a4d961fadf	1057
4a5b5a0e7eba85ca44f658375cb0c78e6af93e5c	705
4b421a50bfa17f73ac7aa8db7d077e674dbc148d	1719
5196e0506257c3242483c511bb558f3f96023f51	1904
548edc65ea96ac51ab17bde2942fd6f319f63e8c	672
56050dc9b7a17130efdbdcd3b8de46b728f25b84	831
586b8c12fc546aabcac341b3a949b3891019bd36	1618
5ad1b4ade7d78eced9c98c4beb678861a41039b7	756
5d95280d7b9c910f944ed7e219193a904bb4425b	2420
6269e2c437a8beccc2516a1635491ab60371950f	517
65a06e473560a4d923ed52d4437c3666662d44a6	415
6bea15e7cf89003e3a5945a20cf1d2cc5096728e	997
6e57405a0a7885ec5099e8b8bd7b26822effa628	330
6ec6a929f06c01c053d75378030724749f50bcc9	412
717e8d950ac5e0473bc11c1890cde3b53651a8cb	2451
7205ff5e2aa4515bae0c62bb9d8355745837270e	659
73b8ceeb3548bbe8863486a8e254b52a95ac8066	633
7756bedec6937eb7a65b7bc530dd2010d0901efe	845
7e5e29e3ee15100de599124b4951d50f3aad5f57	671
80bd08bef9f3447738c8fde4c0d0b436312a2cb9	196
889ecd560bba46a81a29ca29d02f0691aaadc8d2	2157
8ac0257f8da13afffc3e5d32c9b6debea8f6f6a0	760
9015e72ae1ddebe38ba90a538ee2556a46ee3daa	391
979341ecb094d9c6a95de8a47e7836f01587e7d2	662
9f3b51a80ce96578718267711e8b65c1ec8c25c1	537
a0077d41178e576aa473490b13adf2c695bf2faa	426
a0a195f353467a71cbf73aef086249902c53c5a4	544
a86c47cf480e8d86ea03a121e9b6552a17aae41d	722
b39c0e1f93518f2dcb1d1cc49ff04cff36d34a46	695
b64cab004669a010025e4641eb7f359c4035f6b9	437
b92b256872e9d01ef56c9b8d4440cda784662fe0	1027
bee8e3cd9bbe943c531a24c808c36870da51a75f	1286
c216c0af769c9b12bad39b5b889867d7294dee07	4599
ce27fe5ea6040523a61cef198ccc1e866d07ad82	846
d09a17a2b163df7280491ad6c5999d81e892f537	748
d21a853f30a87a4cb0fe6c6f2bb39320c0404c19	789
d2846864527898225bb8061cf24793101ef98dbf	766
d81afc8b5a0f4f27d9d81f1dd748a7a01e7365c0	459
ec7b87d69c6168d25166784796f8026b2cb5715e	777
ecc35c527b8d91c2bdbc2cdc97ef667adfe7e3a3	1049
f0bf3954fe363eda86a3db170063aba34f1be08e	718
f3816b560c0cec6736b47c456c473e46bdc56498	589
f97cab12b1c4db4d5782d92f95e362093ad31860	480
fb3ea03440769a267880ba8721d14a3939792718	954
