id	project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	rm_validation	rd_validation	comment	description	tags													
152	axios	3d65057d7111d7873cf4fad40805cd9ebe327574	RENAME_FILE	urlIsSameOrigin.spec.js	isURLSameOrigin.spec.js	test/specs/helpers/urlIsSameOrigin.spec.js:0-389	test/specs/helpers/isURLSameOrigin.spec.js:0-389	TP	TP	Missed similar refs		SubExp													
171	axios	b10874fa67ed77dd6ecbe1fd1f6eb2045ce9854f	RENAME_FUNCTION	exports	request	lib/axios.js:235-1263	lib/axios.js:581-1473	TN	FP	request was assgned to another var															
177	axios	ca0617061e77f8fca502cacd0cced92242b3712e	RENAME_FUNCTION	onload	loadEvent	lib/adapters/xhr.js:1342-2359	lib/adapters/xhr.js:1455-2676	FN	TP			FunctionVariableRenamed													
179	axios	d23f9d5d4782e5849362895f8b648ed587999706	EXTRACT_FUNCTION	exports	settle	lib/adapters/http.js:435-4518	lib/adapters/http.js:440-576	TP	TP																
185	axios	df6d3ce6cf10432b7920d8c3ac0efb7254989bc4	RENAME_FUNCTION	testProxy	testHTTPProxy	test/unit/adapters/http.js:6983-8070	test/unit/adapters/http.js:6983-8074	TP	TP																
	Chart.js	889ecd560bba46a81a29ca29d02f0691aaadc8d2	MOVE_FUNCTION	legendCallback	legendCallback	src/core/core.js:1064-1505|46	src/plugins/plugin.legend.js:1791-2207|66	FN	TP	Moved to another file		MethodMovedFromOneAnonymousToAnotherFilesAnonymous,NotSupportedByRM													
	Chart.js	979341ecb094d9c6a95de8a47e7836f01587e7d2	EXTRACT_FUNCTION	draw	drawDatasets	src/core/core.controller.js:12139-13011|426	src/core/core.controller.js:12549-13049|465	TP	TP																
	Chart.js	979341ecb094d9c6a95de8a47e7836f01587e7d2	EXTRACT_FUNCTION	update	updateLayout	src/core/core.controller.js:8261-9539|310	src/core/core.controller.js:9532-9989|355	FN	TP																
	Chart.js	979341ecb094d9c6a95de8a47e7836f01587e7d2	EXTRACT_MOVE_FUNCTION	render	onComplete	src/core/core.controller.js:10860-12128	src/core/core.controller.js:10685-10876	FN	FN	Extract Only?															
	Chart.js	a86c47cf480e8d86ea03a121e9b6552a17aae41d	EXTRACT_FUNCTION	eventHandler	handleEvent	src/core/core.controller.js:19397-21506|(669,2)-(741,3)	src/core/core.controller.js:20075-21160|(688,2)-(730,3)	TP	TP		Extract Method 1.2.handleEvent(e) extracted from 1.2.eventHandler(e) in 1.2 in file src/core/core.controller.js														
