id	project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	rm_validation	rd_validation	comment	description	tags
124	atom	7ce5b000e448552bb4ba9556c8f38ccfef127162	INTERNAL_MOVE_FUNCTION	get	get	src/main-process/atom-window.js:5576-5748	src/main-process/atom-window.js:2451-2623	FN	TP	Not Sure		
125	atom	adbd5400295494173e59285bbcb6ac967ed3ebfb	EXTRACT_FUNCTION	grammarOverrideForPath	getAssignedLanguageId	src/grammar-registry.js:9706-9951	src/grammar-registry.js:4999-5094	FN	TP	Easy Ref Missed BY RM		
126	atom	bf6a4e3db4b28bfe068feb72199746dad98d6a83	ADD_PARAMETER					TP			Add Parameter options in method Config.resetUserScopedSettings(newScopedSettings ,options) atsrc/config.js|Config.resetUserScopedSettings	
127	atom	bf6a4e3db4b28bfe068feb72199746dad98d6a83	EXTRACT_FUNCTION	getAll	getAllForPriority	src/config.js:18879-19752	src/config.js:20211-21360	TP	FN			
128	atom	cb783fd15cea1d06b254799e7af8ff71d7d7ed33	RENAME_CLASS	AtomBackend	AtomNativeWatcher	src/path-watcher.js:890-3895	src/path-watcher.js:5352-8290	FN	TP			
129	atom	cb783fd15cea1d06b254799e7af8ff71d7d7ed33	RENAME_CLASS	AtomBackend	NSFWNativeWatcher	src/path-watcher.js:890-3895	src/path-watcher.js:8375-9190	FP	TN			
130	atom	cb783fd15cea1d06b254799e7af8ff71d7d7ed33	RENAME_CLASS	NSFWBackend	NSFWNativeWatcher	src/path-watcher.js:3980-4738	src/path-watcher.js:8375-9190	FN	TP			
131	atom	cb783fd15cea1d06b254799e7af8ff71d7d7ed33	RENAME_FUNCTION	start	doStart	src/path-watcher.js:4002-4688	src/path-watcher.js:8425-9138	FN	TP			
132	atom	cb783fd15cea1d06b254799e7af8ff71d7d7ed33	RENAME_FUNCTION	start	doStart	src/path-watcher.js:912-3833	src/path-watcher.js:5402-8288	FN	TP			
133	atom	cb783fd15cea1d06b254799e7af8ff71d7d7ed33	RENAME_VARIABLE	watcher	w	src/path-watcher.js:19306-19371	src/path-watcher.js:20255-20314	TP			Rename Variable watcher to w in PathWatcherManager.createWatcher(rootPath ,options ,eventCallback) at src/path-watcher.js|PathWatcherManager.createWatcher	
134	atom	dec52a7384d9f241cae0cd2d0a51f440bafa7677	EXTRACT_FUNCTION	toggle	hide	src/workspace.js:41285-42228	src/workspace.js:28576-29421	FN	TP			
135	atom	e2c480847c81f6f97cc184cb5353080ffbcd590d	EXTRACT_FUNCTION	constructor	loadDataOverProcessBoundary	src/main-process/atom-window.js:376-5355	src/main-process/atom-window.js:5526-5851	FN	TP			
136	atom	e2c480847c81f6f97cc184cb5353080ffbcd590d	INTERNAL_MOVE_FUNCTION	get	get	src/main-process/atom-window.js:2547-2697	src/main-process/atom-window.js:5637-5814	TN	FP	Container Moved		
137	atom	f6d2d5729944abbff8a2db1ab2a35d223e998b8c	EXTRACT_FUNCTION	bufferDidChange	treeEditForBufferChange	src/tree-sitter-language-mode.js:1335-1908	src/tree-sitter-language-mode.js:1781-2169	FN	TP			
138	axios	0e2f4f14171ccd161e85478c7b1aba61c3b431a2	MOVE_FUNCTION	Axios	Axios	lib/axios.js:405-595	lib/core/Axios.js:478-668	TP	TP	Mentioned in message		
139	axios	0e2f4f14171ccd161e85478c7b1aba61c3b431a2	MOVE_FUNCTION	method	method	lib/axios.js:3062-3187	lib/core/Axios.js:2603-2728			Hard to Tell		
140	axios	0e2f4f14171ccd161e85478c7b1aba61c3b431a2	MOVE_FUNCTION	method	method	lib/axios.js:3395-3544	lib/core/Axios.js:2870-3019			Hard to Tell		
141	axios	0e2f4f14171ccd161e85478c7b1aba61c3b431a2	MOVE_FUNCTION	request	request	lib/axios.js:623-2220	lib/core/Axios.js:820-2417			Hard to Tell		
142	axios	1629a026da17a1e1d8999a02f3fe6b6b60aaac9c	RENAME_FILE	wrapper.spec.js	headers.spec.js	test/specs/wrapper.spec.js:0-4771	test/specs/headers.spec.js:0-2220	TP	TP		Rename File test/specs/wrapper.spec.js renamed to test/specs/headers.spec.js	NV
143	axios	1629a026da17a1e1d8999a02f3fe6b6b60aaac9c	RENAME_FILE	wrapper.spec.js	requests.spec.js	test/specs/wrapper.spec.js:0-4771	test/specs/requests.spec.js:0-3064	TN	FP			
144	axios	1e2cb9bdca0e19298aa7c242a7db4b45427967ea	INTERNAL_MOVE_FUNCTION	method	method	lib/axios.js:2107-2253	lib/axios.js:2207-2333	TN	FP	Hard to Tell		
145	axios	1e2cb9bdca0e19298aa7c242a7db4b45427967ea	INTERNAL_MOVE_FUNCTION	method	method	lib/axios.js:2461-2635	lib/axios.js:2494-2644	TN	FP	Hard to Tell		
146	axios	203cbc2da0ef0f68d517ba2a6176df1d48efc2fb	MOVE_FILE	settle.js	settle.js	lib/helpers/settle.js:0-568	lib/core/settle.js:0-568	TP	TP	Mentioned in message		
147	axios	203cbc2da0ef0f68d517ba2a6176df1d48efc2fb	MOVE_FILE	settle.spec.js	settle.spec.js	test/specs/helpers/settle.spec.js:0-1905	test/specs/core/settle.spec.js:0-1899	TP	TP	Mentioned in message		
148	axios	203cbc2da0ef0f68d517ba2a6176df1d48efc2fb	MOVE_FILE	transformData.js	transformData.js	lib/helpers/transformData.js:0-550	lib/core/transformData.js:0-550	TP	TP	Mentioned in message		
149	axios	203cbc2da0ef0f68d517ba2a6176df1d48efc2fb	MOVE_FILE	transformData.spec.js	transformData.spec.js	test/specs/helpers/transformData.spec.js:0-687	test/specs/core/transformData.spec.js:0-681	TP	TP	Mentioned in message		
150	axios	2797f10ea5d2cd963a8e5c80da319848bad9f499	RENAME_FUNCTION	onload	loadEvent	dist/axios.js:16024-17069	dist/axios.js:16520-17800	FN	TP			
151	axios	3d65057d7111d7873cf4fad40805cd9ebe327574	RENAME_FILE	urlIsSameOrigin.js	isURLSameOrigin.js	lib/helpers/urlIsSameOrigin.js:0-1831	lib/helpers/isURLSameOrigin.js:0-2206	FN	TP			
152	axios	3d65057d7111d7873cf4fad40805cd9ebe327574	RENAME_FILE	urlIsSameOrigin.spec.js	isURLSameOrigin.spec.js	test/specs/helpers/urlIsSameOrigin.spec.js:0-389	test/specs/helpers/isURLSameOrigin.spec.js:0-389	TP	TP	Missed similar refs		
153	axios	3d65057d7111d7873cf4fad40805cd9ebe327574	RENAME_FUNCTION	urlResolve	resolveURL	lib/helpers/urlIsSameOrigin.js:466-1347	lib/helpers/isURLSameOrigin.js:541-1506	FN	TP			
154	axios	46e275c407f81c44dd9aad419b6e861d8a936580	INTERNAL_MOVE_FUNCTION	loadEvent	loadEvent	dist/axios.js:76120-77400	dist/axios.js:19936-21216	TN	FP	Maybe container moved		
155	axios	46e275c407f81c44dd9aad419b6e861d8a936580	INTERNAL_MOVE_FUNCTION	onerror	onerror	dist/axios.js:77467-77718	dist/axios.js:21283-21549	TN	FP	Maybe container moved		
156	axios	46e275c407f81c44dd9aad419b6e861d8a936580	INTERNAL_MOVE_FUNCTION	onprogress	onprogress	dist/axios.js:75522-75550	dist/axios.js:19338-19366	TN	FP	Maybe container moved		
157	axios	46e275c407f81c44dd9aad419b6e861d8a936580	INTERNAL_MOVE_FUNCTION	ontimeout	ontimeout	dist/axios.js:75579-75606	dist/axios.js:19395-19422	TN	FP	Maybe container moved		
158	axios	46e275c407f81c44dd9aad419b6e861d8a936580	INTERNAL_MOVE_FUNCTION	ontimeout	ontimeout	dist/axios.js:77770-77955	dist/axios.js:21601-21804	TN	FP	Maybe container moved		
159	axios	4ac0fbd1c1dc0c5f9ac290b635d6eee3783e355b	RENAME_FUNCTION	createNew	create	lib/axios.js:1608-1671	lib/axios.js:1605-1668	FN	TP	Mentioned in Commit		
160	axios	4d1269cb4a9773db128f459046b6c4c2a0926859	INTERNAL_MOVE_FUNCTION	loadEvent	loadEvent	dist/axios.js:17206-18309	dist/axios.js:18211-19314	TN	FP	Maybe container moved		
161	axios	4d1269cb4a9773db128f459046b6c4c2a0926859	INTERNAL_MOVE_FUNCTION	onerror	onerror	dist/axios.js:18372-18601	dist/axios.js:19377-19606	TN	FP	Maybe container moved		
162	axios	4d1269cb4a9773db128f459046b6c4c2a0926859	INTERNAL_MOVE_FUNCTION	onprogress	onprogress	dist/axios.js:16634-16662	dist/axios.js:17639-17667	TN	FP	Maybe container moved		
163	axios	4d1269cb4a9773db128f459046b6c4c2a0926859	INTERNAL_MOVE_FUNCTION	ontimeout	ontimeout	dist/axios.js:16689-16716	dist/axios.js:17694-17721	TN	FP	Maybe container moved		
164	axios	4d1269cb4a9773db128f459046b6c4c2a0926859	INTERNAL_MOVE_FUNCTION	ontimeout	ontimeout	dist/axios.js:18649-18887	dist/axios.js:19654-19892	TN	FP	Maybe container moved		
165	axios	61617543268b024e42996e20ff0435b94a893c5d	EXTRACT_FUNCTION	create	createInstance	lib/axios.js:539-608	lib/axios.js:277-595	FN	FN			
166	axios	72c66dfdecbcc165c52fcd19d1f8444ad8c011c6	MOVE_RENAME_FUNCTION	mergeConfig	exports	lib/utils.js:7336-8513	lib/core/mergeConfig.js:371-1655	FN	TP			
167	axios	7ec97dd26b3af7bb0995eef178c4edd8989c3152	RENAME_FUNCTION	loadEvent	onload	dist/axios.js:15654-16556	dist/axios.js:16024-16897	FN	TP			
168	axios	986647be59259125750fd44dbb429658d67dc156	RENAME_FUNCTION	loadEvent	onload	lib/adapters/xhr.js:1523-2401	lib/adapters/xhr.js:1342-2190	FN	TP			
169	axios	a59bc8d2ae218484cdcb1d7e6a295a4ff93225a1	INTERNAL_MOVE_RENAME_FUNCTION	onreadystatechange	loadEvent	dist/axios.js:16756-17575	dist/axios.js:15419-16305	FN	TP			
170	axios	a59bc8d2ae218484cdcb1d7e6a295a4ff93225a1	RENAME_FUNCTION	onreadystatechange	loadEvent	lib/adapters/xhr.js:1088-1882	lib/adapters/xhr.js:1348-2210	FN	TP			
171	axios	b10874fa67ed77dd6ecbe1fd1f6eb2045ce9854f	RENAME_FUNCTION	exports	request	lib/axios.js:235-1263	lib/axios.js:581-1473	TN	FP	request was assgned to another var		
172	axios	bce07e53aa681367082ce9f683de366918647cd6	INTERNAL_MOVE_FUNCTION	method	method	dist/axios.js:3784-3928	dist/axios.js:4363-4494	TN	FP	Hard to Tell		
173	axios	bce07e53aa681367082ce9f683de366918647cd6	INTERNAL_MOVE_FUNCTION	method	method	dist/axios.js:4062-4235	dist/axios.js:4660-4816					
174	axios	bce07e53aa681367082ce9f683de366918647cd6	INTERNAL_MOVE_RENAME_FUNCTION	onreadystatechange	loadEvent	dist/axios.js:16756-17575	dist/axios.js:15290-16176	FN	TP	Seemed rename only		
175	axios	bce07e53aa681367082ce9f683de366918647cd6	RENAME_FUNCTION	createShortMethodsWithData	method	dist/axios.js:3949-4250	dist/axios.js:4660-4816	TN	TN	Hard to Tell		
176	axios	bce07e53aa681367082ce9f683de366918647cd6	RENAME_FUNCTION	urlResolve	resolveURL	dist/axios.js:23560-24465	dist/axios.js:21293-22282	FN	TP			
177	axios	ca0617061e77f8fca502cacd0cced92242b3712e	RENAME_FUNCTION	onload	loadEvent	lib/adapters/xhr.js:1342-2359	lib/adapters/xhr.js:1455-2676	FN	TP			
178	axios	cd0cd1805434dea0d250d195a466a1236b98e502	INTERNAL_MOVE_FUNCTION	onreadystatechange	onreadystatechange	dist/axios.js:16692-17511	dist/axios.js:15976-16795	TN	FP			
179	axios	d23f9d5d4782e5849362895f8b648ed587999706	EXTRACT_FUNCTION	exports	settle	lib/adapters/http.js:435-4518	lib/adapters/http.js:440-576	FN	TP			
180	axios	dcbb35226245483930a1f2969927a3b348bb2558	MOVE_FUNCTION	attemptGettingAjaxRequest	attemptGettingAjaxRequest	test/specs/__getAjaxRequest.js:241-660	test/specs/__helpers.js:579-998	FN	TP			
181	axios	dcbb35226245483930a1f2969927a3b348bb2558	MOVE_RENAME_FUNCTION	exports	getAjaxRequest	test/specs/__getAjaxRequest.js:88-239	test/specs/__helpers.js:426-577	FN	TP	exports is used for moduling		
182	axios	dcbb35226245483930a1f2969927a3b348bb2558	MOVE_RENAME_FUNCTION	exports	setupBasicAuthTest	test/specs/__setupBasicAuthTest.js:136-1167	test/specs/__helpers.js:1258-2289	FN	TP	exports is used for moduling		
183	axios	dcbb35226245483930a1f2969927a3b348bb2558	MOVE_RENAME_FUNCTION	exports	validateInvalidCharacterError	test/specs/__validateInvalidCharacterError.js:17-124	test/specs/__helpers.js:1101-1208	FN	TP	exports is used for moduling		
184	axios	dcbb35226245483930a1f2969927a3b348bb2558	RENAME_FILE	__getAjaxRequest.js	__helpers.js	test/specs/__getAjaxRequest.js:0-661|(1,0)-(29,0)	test/specs/__helpers.js:0-2291|(1,0)-(89,0)	FP	TN	Move Functions, developer written moving helpers		
185	axios	df6d3ce6cf10432b7920d8c3ac0efb7254989bc4	RENAME_FUNCTION	testProxy	testHTTPProxy	test/unit/adapters/http.js:6983-8070	test/unit/adapters/http.js:6983-8074	TP	TP			
186	axios	e8c5c49ea2f2cf4fd45eaf81270a6d23546e2c93	INTERNAL_MOVE_FUNCTION	loadEvent	loadEvent	dist/axios.js:22374-23431	dist/axios.js:18889-20169	FN	TP			
187	axios	e8c5c49ea2f2cf4fd45eaf81270a6d23546e2c93	INTERNAL_MOVE_FUNCTION	onerror	onerror	dist/axios.js:23498-23749	dist/axios.js:20236-20487	TN	FP			
188	axios	e8c5c49ea2f2cf4fd45eaf81270a6d23546e2c93	INTERNAL_MOVE_FUNCTION	onprogress	onprogress	dist/axios.js:21776-21804	dist/axios.js:18291-18319	TN	FP			
189	axios	e8c5c49ea2f2cf4fd45eaf81270a6d23546e2c93	INTERNAL_MOVE_FUNCTION	ontimeout	ontimeout	dist/axios.js:21833-21860	dist/axios.js:18348-18375	TN	FP			
190	axios	e8c5c49ea2f2cf4fd45eaf81270a6d23546e2c93	INTERNAL_MOVE_FUNCTION	ontimeout	ontimeout	dist/axios.js:23801-23986	dist/axios.js:20539-20724	TN	FP			
191	axios	fc12b933f729f236b2149872c42961a8626dafb7	MOVE_FILE	http.js	http.js	test/unit/axios/http.js:0-1071	test/unit/adapters/http.js:0-1071	TP	TP			
192	axios	fc12b933f729f236b2149872c42961a8626dafb7	MOVE_FUNCTION	toString	toString	test/unit/utils/isX.js:935-961	test/specs/utils/isX.spec.js:956-982	TN	FP	Perhaps didn't move		
193	axios	fc12b933f729f236b2149872c42961a8626dafb7	MOVE_RENAME_FILE	forEach.js	forEach.spec.js	test/unit/utils/forEach.js:0-1078	test/specs/utils/forEach.spec.js:0-1153	FN	TP			
194	axios	fc12b933f729f236b2149872c42961a8626dafb7	MOVE_RENAME_FILE	merge.js	merge.spec.js	test/unit/utils/merge.js:0-605	test/specs/utils/merge.spec.js:0-636	FN	TP			
195	axios	fc12b933f729f236b2149872c42961a8626dafb7	MOVE_RENAME_FILE	parseHeaders.js	parseHeaders.spec.js	test/unit/helpers/parseHeaders.js:0-587	test/specs/helpers/parseHeaders.spec.js:0-628	FN	TP	Easy Missed by RM		
196	axios	fc12b933f729f236b2149872c42961a8626dafb7	MOVE_RENAME_FILE	spread.js	spread.spec.js	test/unit/helpers/spread.js:0-243	test/specs/helpers/spread.spec.js:0-280	FN	TP			
197	axios	fc12b933f729f236b2149872c42961a8626dafb7	MOVE_RENAME_FILE	transformData.js	transformData.spec.js	test/unit/helpers/transformData.js:0-638	test/specs/helpers/transformData.spec.js:0-687	FN	TP			
198	axios	ff919487e13430098d3da37a37cc04c3f24b59c4	EXTRACT_FUNCTION	create	createInstance	dist/axios.js:4712-4783	dist/axios.js:2292-2621	FN	FN			
199	axios	ff919487e13430098d3da37a37cc04c3f24b59c4	INTERNAL_MOVE_FUNCTION	loadEvent	loadEvent	dist/axios.js:18211-19314	dist/axios.js:21958-23015	FN	TP			
200	axios	ff919487e13430098d3da37a37cc04c3f24b59c4	INTERNAL_MOVE_FUNCTION	onerror	onerror	dist/axios.js:19377-19606	dist/axios.js:23082-23333	TN	FP			
201	axios	ff919487e13430098d3da37a37cc04c3f24b59c4	INTERNAL_MOVE_FUNCTION	onprogress	onprogress	dist/axios.js:17639-17667	dist/axios.js:21360-21388	TN	FP			
202	axios	ff919487e13430098d3da37a37cc04c3f24b59c4	INTERNAL_MOVE_FUNCTION	ontimeout	ontimeout	dist/axios.js:17694-17721	dist/axios.js:21417-21444	TN	FP			
203	axios	ff919487e13430098d3da37a37cc04c3f24b59c4	INTERNAL_MOVE_FUNCTION	ontimeout	ontimeout	dist/axios.js:19654-19892	dist/axios.js:23385-23570	TN	FP			
