project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	rm_validation	rd_validation	comment	refactoring	Tags
chart-js	b64cab004669a010025e4641eb7f359c4035f6b9	EXTRACT_FUNCTION	draw	drawBackground	src/core/core.tooltip.js:19539-20513	src/core/core.tooltip.js:19539-19850	TP	TP		"Extract Method 1.1.drawBackground(pt ,vm ,ctx ,tooltipSize ,opacity) extracted from 1.1.draw() in  1.1 in file src/core/core.tooltip.js"	
chart-js	b92b256872e9d01ef56c9b8d4440cda784662fe0	EXTRACT_FUNCTION	startDigest	advance	src/core/core.animation.js:2637-4392	src/core/core.animation.js:2931-3637	TP	TP			
chart-js	b92b256872e9d01ef56c9b8d4440cda784662fe0	RENAME_FUNCTION	callCallback	callback	src/core/core.helpers.js:29920-30025	src/core/core.helpers.js:29916-30025	FN	TP			
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	controller.bar.tests.js	controller.bar.tests.js	test/controller.bar.tests.js:0-35140	test/specs/controller.bar.tests.js:0-35140	TP	TP		Move File test/controller.bar.tests.js to test/specs/controller.bar.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	controller.bubble.tests.js	controller.bubble.tests.js	test/controller.bubble.tests.js:0-9841	test/specs/controller.bubble.tests.js:0-9841	TP	TP		Move File test/controller.bubble.tests.js to test/specs/controller.bubble.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	controller.doughnut.tests.js	controller.doughnut.tests.js	test/controller.doughnut.tests.js:0-10238	test/specs/controller.doughnut.tests.js:0-10238	TP	TP		Move File test/controller.doughnut.tests.js to test/specs/controller.doughnut.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	controller.line.tests.js	controller.line.tests.js	test/controller.line.tests.js:0-19160	test/specs/controller.line.tests.js:0-19160	TP	TP		Move File test/controller.line.tests.js to test/specs/controller.line.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	controller.polarArea.tests.js	controller.polarArea.tests.js	test/controller.polarArea.tests.js:0-10097	test/specs/controller.polarArea.tests.js:0-10097	TP	TP		Move File test/controller.polarArea.tests.js to test/specs/controller.polarArea.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	controller.radar.tests.js	controller.radar.tests.js	test/controller.radar.tests.js:0-14210	test/specs/controller.radar.tests.js:0-14210	TP	TP		Move File test/controller.radar.tests.js to test/specs/controller.radar.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	core.controller.tests.js	core.controller.tests.js	test/core.controller.tests.js:0-17122	test/specs/core.controller.tests.js:0-17122	TP	TP		Move File test/core.controller.tests.js to test/specs/core.controller.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	core.datasetController.tests.js	core.datasetController.tests.js	test/core.datasetController.tests.js:0-4143	test/specs/core.datasetController.tests.js:0-4143	TP	TP		Move File test/core.datasetController.tests.js to test/specs/core.datasetController.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	core.element.tests.js	core.element.tests.js	test/core.element.tests.js:0-1137	test/specs/core.element.tests.js:0-1137	TP	TP		Move File test/core.element.tests.js to test/specs/core.element.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	core.helpers.tests.js	core.helpers.tests.js	test/core.helpers.tests.js:0-23614	test/specs/core.helpers.tests.js:0-23614	TP	TP		Move File test/core.helpers.tests.js to test/specs/core.helpers.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	core.interaction.tests.js	core.interaction.tests.js	test/core.interaction.tests.js:0-21314	test/specs/core.interaction.tests.js:0-21314	TP	TP		Move File test/core.interaction.tests.js to test/specs/core.interaction.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	core.layoutService.tests.js	core.layoutService.tests.js	test/core.layoutService.tests.js:0-11155	test/specs/core.layoutService.tests.js:0-11155	TP	TP		Move File test/core.layoutService.tests.js to test/specs/core.layoutService.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	core.legend.tests.js	core.legend.tests.js	test/core.legend.tests.js:0-9038	test/specs/core.legend.tests.js:0-9038	TP	TP		Move File test/core.legend.tests.js to test/specs/core.legend.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	core.plugin.tests.js	core.plugin.tests.js	test/core.plugin.tests.js:0-8862	test/specs/core.plugin.tests.js:0-8862	TP	TP		Move File test/core.plugin.tests.js to test/specs/core.plugin.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	core.scaleService.tests.js	core.scaleService.tests.js	test/core.scaleService.tests.js:0-735	test/specs/core.scaleService.tests.js:0-735	TP	TP		Move File test/core.scaleService.tests.js to test/specs/core.scaleService.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	core.title.tests.js	core.title.tests.js	test/core.title.tests.js:0-5564	test/specs/core.title.tests.js:0-5564	TP	TP		Move File test/core.title.tests.js to test/specs/core.title.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	core.tooltip.tests.js	core.tooltip.tests.js	test/core.tooltip.tests.js:0-18957	test/specs/core.tooltip.tests.js:0-18957	TP	TP		Move File test/core.tooltip.tests.js to test/specs/core.tooltip.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	element.arc.tests.js	element.arc.tests.js	test/element.arc.tests.js:0-4320	test/specs/element.arc.tests.js:0-4320	TP	TP		Move File test/element.arc.tests.js to test/specs/element.arc.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	element.line.tests.js	element.line.tests.js	test/element.line.tests.js:0-46706	test/specs/element.line.tests.js:0-46706	TP	TP		Move File test/element.line.tests.js to test/specs/element.line.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	element.point.tests.js	element.point.tests.js	test/element.point.tests.js:0-10635	test/specs/element.point.tests.js:0-10635	TP	TP		Move File test/element.point.tests.js to test/specs/element.point.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	element.rectangle.tests.js	element.rectangle.tests.js	test/element.rectangle.tests.js:0-7389	test/specs/element.rectangle.tests.js:0-7389	TP	TP		Move File test/element.rectangle.tests.js to test/specs/element.rectangle.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	global.deprecations.tests.js	global.deprecations.tests.js	test/global.deprecations.tests.js:0-3969	test/specs/global.deprecations.tests.js:0-3969	TP	TP		Move File test/global.deprecations.tests.js to test/specs/global.deprecations.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	platform.dom.tests.js	platform.dom.tests.js	test/platform.dom.tests.js:0-8340	test/specs/platform.dom.tests.js:0-8340	TP	TP		Move File test/platform.dom.tests.js to test/specs/platform.dom.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	scale.category.tests.js	scale.category.tests.js	test/scale.category.tests.js:0-10140	test/specs/scale.category.tests.js:0-10140	TP	TP		Move File test/scale.category.tests.js to test/specs/scale.category.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	scale.linear.tests.js	scale.linear.tests.js	test/scale.linear.tests.js:0-19206	test/specs/scale.linear.tests.js:0-19206	TP	TP		Move File test/scale.linear.tests.js to test/specs/scale.linear.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	scale.logarithmic.tests.js	scale.logarithmic.tests.js	test/scale.logarithmic.tests.js:0-18836	test/specs/scale.logarithmic.tests.js:0-18836	TP	TP		Move File test/scale.logarithmic.tests.js to test/specs/scale.logarithmic.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	scale.radialLinear.tests.js	scale.radialLinear.tests.js	test/scale.radialLinear.tests.js:0-10682	test/specs/scale.radialLinear.tests.js:0-10682	TP	TP		Move File test/scale.radialLinear.tests.js to test/specs/scale.radialLinear.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	scale.time.tests.js	scale.time.tests.js	test/scale.time.tests.js:0-13024	test/specs/scale.time.tests.js:0-13024	TP	TP		Move File test/scale.time.tests.js to test/specs/scale.time.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FUNCTION	Context	Context	test/mockContext.js:166-1657	test/jasmine.context.js:95-1520					
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FUNCTION	_initMethods	_initMethods	test/mockContext.js:1694-2857	test/jasmine.context.js:1556-2523					
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FUNCTION	record	record	test/mockContext.js:2888-3009	test/jasmine.context.js:2553-2669					
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FUNCTION	getCalls	getCalls	test/mockContext.js:3042-3079	test/jasmine.context.js:2701-2736					
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FUNCTION	resetCalls	resetCalls	test/mockContext.js:3114-3149	test/jasmine.context.js:2770-2803					
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FUNCTION	createMockContext	createMockContext	test/mockContext.js:3180-3219	test/jasmine.index.js:493-550					
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FUNCTION	toBeCloseToPixel	toBeCloseToPixel	test/mockContext.js:3242-3680	test/jasmine.matchers.js:15-439					
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FUNCTION	toEqualOneOf	toEqualOneOf	test/mockContext.js:3683-3975	test/jasmine.matchers.js:441-718					
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FUNCTION	toBeValidChart	toBeValidChart	test/mockContext.js:3978-4886	test/jasmine.matchers.js:720-1607					
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FUNCTION	toBeChartOfSize	toBeChartOfSize	test/mockContext.js:4889-6366	test/jasmine.matchers.js:1609-3047					
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FUNCTION	acquireChart	acquireChart	test/mockContext.js:7116-8382	test/jasmine.utils.js:488-1694					
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FUNCTION	injectCSS	injectCSS	test/mockContext.js:8687-9062	test/jasmine.utils.js:1877-2241					
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_RENAME_FILE	defaultConfig.tests.js	global.defaults.tests.js	test/defaultConfig.tests.js:0-7485	test/specs/global.defaults.tests.js:0-7485	TP	TP		Move And Rename File test/defaultConfig.tests.js moved and renamed to test/specs/global.defaults.tests.js	
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	RENAME_FILE	mockContext.js	jasmine.matchers.js	test/mockContext.js:0-9426	test/jasmine.matchers.js:0-3204				Rename File test/mockContext.js renamed to test/jasmine.matchers.js	
chart-js	ce27fe5ea6040523a61cef198ccc1e866d07ad82	RENAME_FILE	core.layoutService.js	core.layout.js	src/core/core.layoutService.js:0-15063	src/core/core.layout.js:0-14667	TP	TP		Rename File src/core/core.layoutService.js renamed to src/core/core.layout.js	
chart-js	d09a17a2b163df7280491ad6c5999d81e892f537	EXTRACT_MOVE_FUNCTION	buildTicks	linear	src/scales/scale.linearbase.js:1326-3571	src/core/core.ticks.js:1471-2824					
chart-js	d09a17a2b163df7280491ad6c5999d81e892f537	EXTRACT_MOVE_FUNCTION	buildTicks	logarithmic	src/scales/scale.logarithmic.js:3340-5136	src/core/core.ticks.js:3156-4320					
chart-js	d09a17a2b163df7280491ad6c5999d81e892f537	MOVE_RENAME_FUNCTION	callback	values	src/core/core.scale.js:936-1014	src/core/core.ticks.js:4649-4727					
chart-js	d09a17a2b163df7280491ad6c5999d81e892f537	MOVE_RENAME_FUNCTION	callback	linear	src/scales/scale.linear.js:149-981	src/core/core.ticks.js:5126-5958					
chart-js	d09a17a2b163df7280491ad6c5999d81e892f537	MOVE_RENAME_FUNCTION	callback	logarithmic	src/scales/scale.logarithmic.js:170-482	src/core/core.ticks.js:5977-6313					
chart-js	d21a853f30a87a4cb0fe6c6f2bb39320c0404c19	EXTRACT_FUNCTION	initialize	getBaseModel	src/core/core.tooltip.js:3880-6013	src/core/core.tooltip.js:3899-5896	FN	TP			
chart-js	d2846864527898225bb8061cf24793101ef98dbf	MOVE_FUNCTION	addAnimation	addAnimation	src/core/core.animation.js:1284-1822	src/core/core.animations.js:690-1210					
chart-js	d2846864527898225bb8061cf24793101ef98dbf	MOVE_FUNCTION	cancelAnimation	cancelAnimation	src/core/core.animation.js:1844-2078	src/core/core.animations.js:1231-1457					
chart-js	d2846864527898225bb8061cf24793101ef98dbf	MOVE_FUNCTION	requestAnimationFrame	requestAnimationFrame	src/core/core.animation.js:2106-2499	src/core/core.animations.js:1484-1866					
chart-js	d2846864527898225bb8061cf24793101ef98dbf	MOVE_FUNCTION	startDigest	startDigest	src/core/core.animation.js:2543-2992	src/core/core.animations.js:1906-2340					
chart-js	d2846864527898225bb8061cf24793101ef98dbf	MOVE_FUNCTION	advance	advance	src/core/core.animation.js:3032-3738	src/core/core.animations.js:2376-3063					
chart-js	d81afc8b5a0f4f27d9d81f1dd748a7a01e7365c0	REMOVE_PARAMETER								"Remove Parameter major in method generate(min ,max ,minor ,major ,capacity ,options) from src/scales/scale.time.js|generate"	
chart-js	d81afc8b5a0f4f27d9d81f1dd748a7a01e7365c0	REMOVE_PARAMETER								"Remove Parameter minor in method generate(min ,max ,minor ,major ,capacity ,options) from src/scales/scale.time.js|generate"	
chart-js	d81afc8b5a0f4f27d9d81f1dd748a7a01e7365c0	RENAME_FUNCTION	determineUnit	determineUnitForAutoTicks	src/scales/scale.time.js:6407-6833	src/scales/scale.time.js:6497-6935	TP	TP		"Rename Method determineUnit(minUnit ,min ,max ,capacity) renamed to determineUnitForAutoTicks(minUnit ,min ,max ,capacity) at src/scales/scale.time.js|determineUnit"	
chart-js	ec7b87d69c6168d25166784796f8026b2cb5715e	MOVE_FUNCTION	calculateBaseWidth	calculateBaseWidth	src/charts/chart.bar.js:12010-12183	src/scales/scale.category.js:1088-1230					
chart-js	ec7b87d69c6168d25166784796f8026b2cb5715e	MOVE_FUNCTION	calculateBarWidth	calculateBarWidth	src/charts/chart.bar.js:12220-12664	src/scales/scale.category.js:1253-1578					
chart-js	ec7b87d69c6168d25166784796f8026b2cb5715e	MOVE_FUNCTION	calculateBarX	calculateBarX	src/charts/chart.bar.js:12697-13250	src/scales/scale.category.js:1597-2008					
chart-js	ecc35c527b8d91c2bdbc2cdc97ef667adfe7e3a3	MOVE_FUNCTION	readUsedSize	readUsedSize	src/core/core.controller.js:1139-1334	src/platforms/platform.dom.js:2292-2487					
chart-js	ecc35c527b8d91c2bdbc2cdc97ef667adfe7e3a3	MOVE_FUNCTION	initCanvas	initCanvas	src/core/core.controller.js:1686-3314	src/platforms/platform.dom.js:2772-4400					
chart-js	ecc35c527b8d91c2bdbc2cdc97ef667adfe7e3a3	MOVE_FUNCTION	acquireContext	acquireContext	src/core/core.controller.js:4389-5177	src/platforms/platform.dom.js:5246-6041					
chart-js	ecc35c527b8d91c2bdbc2cdc97ef667adfe7e3a3	MOVE_RENAME_FUNCTION	releaseCanvas	releaseContext	src/core/core.controller.js:3473-4309	src/platforms/platform.dom.js:6240-7117					
chart-js	f3816b560c0cec6736b47c456c473e46bdc56498	MOVE_RENAME_FILE	core.legend.js	plugin.legend.js	src/core/core.legend.js:0-15144	src/plugins/plugin.legend.js:0-15096	TP	TP		Move And Rename File src/core/core.legend.js moved and renamed to src/plugins/plugin.legend.js	
chart-js	f3816b560c0cec6736b47c456c473e46bdc56498	MOVE_RENAME_FILE	core.title.js	plugin.title.js	src/core/core.title.js:0-5460	src/plugins/plugin.title.js:0-5413	TP	TP		Move And Rename File src/core/core.title.js moved and renamed to src/plugins/plugin.title.js	
chart-js	f3816b560c0cec6736b47c456c473e46bdc56498	RENAME_FILE	core.legend.tests.js	plugin.legend.tests.js	test/specs/core.legend.tests.js:0-9038	test/specs/plugin.legend.tests.js:0-9038	TP	TP		Rename File test/specs/core.legend.tests.js renamed to test/specs/plugin.legend.tests.js	
chart-js	f3816b560c0cec6736b47c456c473e46bdc56498	RENAME_FILE	core.title.tests.js	plugin.title.tests.js	test/specs/core.title.tests.js:0-5564	test/specs/plugin.title.tests.js:0-5564	TP	TP		Rename File test/specs/core.title.tests.js renamed to test/specs/plugin.title.tests.js	
chart-js	f97cab12b1c4db4d5782d92f95e362093ad31860	EXTRACT_FUNCTION	drawCaret	getCaretPosition	src/core/core.tooltip.js:16366-17940	src/core/core.tooltip.js:16700-18024	FN	TP			
chart-js	f97cab12b1c4db4d5782d92f95e362093ad31860	RENAME_FUNCTION	drawCaret	getCaretPosition	src/core/core.tooltip.js:16355-17940	src/core/core.tooltip.js:16682-18024	FP	TN		"Rename Method 1.1.drawCaret(tooltipPoint ,size ,opacity) renamed to 1.1.getCaretPosition(tooltipPoint ,size ,vm) at src/core/core.tooltip.js|1.1.drawCaret"	MC
chart-js	fb3ea03440769a267880ba8721d14a3939792718	RENAME_FILE	core.plugin.js	core.plugins.js	src/core/core.plugin.js:0-14122	src/core/core.plugins.js:0-13123	FN	TP			
