project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	rm_validation	rd_validation	comment	refactoring	Tags
chart-js	35dcfe00b1ae7199f8ed6c3748a72f4700c9876d	EXTRACT_FUNCTION	buildTicks	determineUnit	src/scales/scale.time.js:5184-11046	src/scales/scale.time.js:3188-3685			Too Complex		
chart-js	35dcfe00b1ae7199f8ed6c3748a72f4700c9876d	EXTRACT_FUNCTION	buildTicks	determineStepSize	src/scales/scale.time.js:5184-11046	src/scales/scale.time.js:3961-4738			Too Complex		
chart-js	447ca40a7f8baa2ec55f3388e02cabcfe8cbfadc	EXTRACT_FUNCTION	getStackCount	_getStacks	src/controllers/controller.bar.js:4629-5253	src/controllers/controller.bar.js:4691-5308	TP	TP			
chart-js	4a5b5a0e7eba85ca44f658375cb0c78e6af93e5c	EXTRACT_FUNCTION	toBeChartOfSize	toBeValidChart	test/mockContext.js:3943-5414	test/mockContext.js:3943-5011	TP	FN	Good RM Example	Extract Method 1.toBeValidChart() extracted from 1.toBeChartOfSize() in  1 in file test/mockContext.js	
chart-js	4b421a50bfa17f73ac7aa8db7d077e674dbc148d	EXTRACT_MOVE_FUNCTION	draw	lineTo	src/elements/element.line.js:550-5310	src/core/core.canvasHelpers.js:3268-3822	FN	TP	Difficult		
											
chart-js	5196e0506257c3242483c511bb558f3f96023f51	EXTRACT_MOVE_FUNCTION	releaseContext	isNullOrUndef	src/platforms/platform.dom.js:7078-7955	src/helpers/helpers.core.js:643-722	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_FUNCTION	clear	clear	src/core/core.helpers.js:26430-26506	src/helpers/helpers.canvas.js:300-378	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_FUNCTION	each	each	src/core/core.helpers.js:293-861	src/helpers/helpers.core.js:3433-3961	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_FUNCTION	arrayEquals	arrayEquals	src/core/core.helpers.js:29554-30016	src/helpers/helpers.core.js:4242-4722	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_FUNCTION	callback	callback	src/core/core.helpers.js:30038-30154	src/helpers/helpers.core.js:2737-2857	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_FUNCTION	getValueAtIndexOrDefault	getValueAtIndexOrDefault	src/core/core.helpers.js:4420-4652	src/helpers/helpers.core.js:2036-2293	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_FUNCTION	getValueOrDefault	getValueOrDefault	src/core/core.helpers.js:4683-4770	src/helpers/helpers.core.js:1564-1661	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_RENAME_FILE	core.canvasHelpers.js	helpers.canvas.js	src/core/core.canvasHelpers.js:0-3995	src/helpers/helpers.canvas.js:0-6421	TP	TP			
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_RENAME_FUNCTION	drawRoundedRectangle	roundedRect	src/core/core.helpers.js:28504-29016	src/helpers/helpers.canvas.js:1147-1709	FN	TP			MC
chart-js	548edc65ea96ac51ab17bde2942fd6f319f63e8c	EXTRACT_FUNCTION	addEventListener	addEventListener	src/platforms/platform.dom.js:7969-8480	src/platforms/platform.dom.js:9828-10339	TN	FP	MRM		"MC, VN"
chart-js	548edc65ea96ac51ab17bde2942fd6f319f63e8c	EXTRACT_FUNCTION	removeEventListener	removeEventListener	src/platforms/platform.dom.js:8506-8941	src/platforms/platform.dom.js:10365-10800	TN	FP	MRM		"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	linear	linear	src/core/core.helpers.js:12255-12285	src/helpers/helpers.easing.js:154-182					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInQuad	easeInQuad	src/core/core.helpers.js:12301-12335	src/helpers/helpers.easing.js:198-230					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeOutQuad	easeOutQuad	src/core/core.helpers.js:12352-12397	src/helpers/helpers.easing.js:247-286					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInOutQuad	easeInOutQuad	src/core/core.helpers.js:12416-12533	src/helpers/helpers.easing.js:305-411					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInCubic	easeInCubic	src/core/core.helpers.js:12550-12588	src/helpers/helpers.easing.js:428-464					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeOutCubic	easeOutCubic	src/core/core.helpers.js:12606-12668	src/helpers/helpers.easing.js:482-532					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInOutCubic	easeInOutCubic	src/core/core.helpers.js:12688-12809	src/helpers/helpers.easing.js:552-662					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInQuart	easeInQuart	src/core/core.helpers.js:12826-12868	src/helpers/helpers.easing.js:679-719					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeOutQuart	easeOutQuart	src/core/core.helpers.js:12886-12953	src/helpers/helpers.easing.js:737-794					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInOutQuart	easeInOutQuart	src/core/core.helpers.js:12973-13103	src/helpers/helpers.easing.js:814-933					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInQuint	easeInQuint	src/core/core.helpers.js:13120-13177	src/helpers/helpers.easing.js:950-994					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeOutQuint	easeOutQuint	src/core/core.helpers.js:13195-13265	src/helpers/helpers.easing.js:1012-1070					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInOutQuint	easeInOutQuint	src/core/core.helpers.js:13285-13422	src/helpers/helpers.easing.js:1090-1216					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInSine	easeInSine	src/core/core.helpers.js:13438-13507	src/helpers/helpers.easing.js:1232-1291					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeOutSine	easeOutSine	src/core/core.helpers.js:13524-13588	src/helpers/helpers.easing.js:1308-1362					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInOutSine	easeInOutSine	src/core/core.helpers.js:13607-13676	src/helpers/helpers.easing.js:1381-1442					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInExpo	easeInExpo	src/core/core.helpers.js:13692-13770	src/helpers/helpers.easing.js:1458-1526					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeOutExpo	easeOutExpo	src/core/core.helpers.js:13787-13867	src/helpers/helpers.easing.js:1543-1611					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInOutExpo	easeInOutExpo	src/core/core.helpers.js:13886-14104	src/helpers/helpers.easing.js:1630-1831					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInCirc	easeInCirc	src/core/core.helpers.js:14120-14223	src/helpers/helpers.easing.js:1847-1934					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeOutCirc	easeOutCirc	src/core/core.helpers.js:14240-14307	src/helpers/helpers.easing.js:1951-2008					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInOutCirc	easeInOutCirc	src/core/core.helpers.js:14326-14476	src/helpers/helpers.easing.js:2027-2166					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInElastic	easeInElastic	src/core/core.helpers.js:14495-14880	src/helpers/helpers.easing.js:2185-2539					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeOutElastic	easeOutElastic	src/core/core.helpers.js:14900-15280	src/helpers/helpers.easing.js:2559-2908					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInOutElastic	easeInOutElastic	src/core/core.helpers.js:15302-15824	src/helpers/helpers.easing.js:2930-3413					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInBack	easeInBack	src/core/core.helpers.js:15840-15925	src/helpers/helpers.easing.js:3428-3499					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeOutBack	easeOutBack	src/core/core.helpers.js:15942-16040	src/helpers/helpers.easing.js:3516-3601					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInOutBack	easeInOutBack	src/core/core.helpers.js:16059-16260	src/helpers/helpers.easing.js:3620-3809					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInBounce	easeInBounce	src/core/core.helpers.js:16278-16345	src/helpers/helpers.easing.js:3827-3886					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeOutBounce	easeOutBounce	src/core/core.helpers.js:16364-16699	src/helpers/helpers.easing.js:3905-4194					"MC, VN"
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	easeInOutBounce	easeInOutBounce	src/core/core.helpers.js:16720-16880	src/helpers/helpers.easing.js:4215-4352					"MC, VN"
chart-js	5ad1b4ade7d78eced9c98c4beb678861a41039b7	EXTRACT_MOVE_FUNCTION	determineDataLimits	parse	src/scales/scale.time.js:1881-3840	src/scales/scale.time.js:3516-3875			Too Complex		VN
chart-js	5ad1b4ade7d78eced9c98c4beb678861a41039b7	EXTRACT_MOVE_FUNCTION	getPixelForValue	parse	src/scales/scale.time.js:7478-8023	src/scales/scale.time.js:3516-3875			Too Complex		VN
chart-js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_FUNCTION	getValueOrDefault	valueOrDefault	src/helpers/helpers.core.js:1564-1661	src/helpers/helpers.core.js:1561-1658	TP	TP			MC
chart-js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_FUNCTION	getValueAtIndexOrDefault	valueAtIndexOrDefault	src/helpers/helpers.core.js:2036-2293	src/helpers/helpers.core.js:2030-2166	FN	TP			MC
chart-js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	getValueOrDefault	valueOrDefault	src/core/core.scale.js:1276-1321	src/core/core.scale.js:1276-1315	TP			Rename Variable getValueOrDefault to valueOrDefault in 1.parseFontOptions(options) at src/core/core.scale.js|1.parseFontOptions	
chart-js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	getValueOrDefault	valueOrDefault	src/core/core.tooltip.js:3614-3659	src/core/core.tooltip.js:3614-3653	TP			Rename Variable getValueOrDefault to valueOrDefault in 1.getBaseModel(tooltipOpts) at src/core/core.tooltip.js|1.getBaseModel	
chart-js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	itemOrDefault	valueOrDefault	src/plugins/plugin.legend.js:4677-4718	src/plugins/plugin.legend.js:4677-4716	TP			Rename Variable itemOrDefault to valueOrDefault in 1.1.fit() at src/plugins/plugin.legend.js|1.1.fit	
chart-js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	itemOrDefault	valueOrDefault	src/plugins/plugin.legend.js:8315-8356	src/plugins/plugin.legend.js:8316-8355	TP			Rename Variable itemOrDefault to valueOrDefault in 1.1.draw() at src/plugins/plugin.legend.js|1.1.draw	
chart-js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	getValueOrDefault	valueOrDefault	src/scales/scale.radialLinear.js:14576-14621	src/scales/scale.radialLinear.js:14546-14585	TP			Rename Variable getValueOrDefault to valueOrDefault in 1.1.draw() at src/scales/scale.radialLinear.js|1.1.draw	
chart-js	5d95280d7b9c910f944ed7e219193a904bb4425b	RENAME_VARIABLE	getValueOrDefault	valueOrDefault	src/scales/scale.radialLinear.js:6589-6634	src/scales/scale.radialLinear.js:6580-6619	TP			Rename Variable getValueOrDefault to valueOrDefault in 1.drawPointLabels(scale) at src/scales/scale.radialLinear.js|1.drawPointLabels	
chart-js	6269e2c437a8beccc2516a1635491ab60371950f	RENAME_FUNCTION	getOutOfBoundPixelForValue	getOutOfBoundLabelMoment	test/scale.time.tests.js:13110-13159	test/scale.time.tests.js:13108-13157	FN	TP	Easy Missed BY RM		
chart-js	65a06e473560a4d923ed52d4437c3666662d44a6	EXTRACT_FUNCTION	drawCaret	mergeOpacity	src/core/core.tooltip.js:14694-16135	src/core/core.tooltip.js:147-297					
chart-js	65a06e473560a4d923ed52d4437c3666662d44a6	EXTRACT_FUNCTION	drawTitle	mergeOpacity	src/core/core.tooltip.js:16150-16944	src/core/core.tooltip.js:147-297					
chart-js	65a06e473560a4d923ed52d4437c3666662d44a6	EXTRACT_FUNCTION	drawBody	mergeOpacity	src/core/core.tooltip.js:16958-18938	src/core/core.tooltip.js:147-297					
chart-js	65a06e473560a4d923ed52d4437c3666662d44a6	EXTRACT_FUNCTION	drawFooter	mergeOpacity	src/core/core.tooltip.js:18954-19535	src/core/core.tooltip.js:147-297					
chart-js	65a06e473560a4d923ed52d4437c3666662d44a6	EXTRACT_FUNCTION	drawBackground	mergeOpacity	src/core/core.tooltip.js:19555-19850	src/core/core.tooltip.js:147-297					
chart-js	6bea15e7cf89003e3a5945a20cf1d2cc5096728e	RENAME_FILE	core.layoutService.tests.js	core.layouts.tests.js	test/specs/core.layoutService.tests.js:0-14600	test/specs/core.layouts.tests.js:0-14950	TP	TP		Rename File test/specs/core.layoutService.tests.js renamed to test/specs/core.layouts.tests.js	
chart-js	6bea15e7cf89003e3a5945a20cf1d2cc5096728e	RENAME_FILE	core.layout.js	core.layouts.js	src/core/core.layout.js:0-14667	src/core/core.layouts.js:0-14667	TP	TP		Rename File src/core/core.layout.js renamed to src/core/core.layouts.js	
chart-js	6e57405a0a7885ec5099e8b8bd7b26822effa628	MOVE_FILE	analyser.js	analyser.js	samples/area/analyser.js:0-1399	samples/charts/area/analyser.js:0-1399	TP	TP		Move File samples/area/analyser.js to samples/charts/area/analyser.js	
chart-js	6ec6a929f06c01c053d75378030724749f50bcc9	ADD_PARAMETER								"Add Parameter distanceMetric in method 1.getNearestItems(chart ,position ,intersect ,distanceMetric) atsrc/core/core.interaction.js|1.getNearestItems"	
chart-js	7205ff5e2aa4515bae0c62bb9d8355745837270e	RENAME_FUNCTION	onEvent	afterEvent	test/platform.dom.tests.js:7359-7409	test/platform.dom.tests.js:7362-7412					
chart-js	7205ff5e2aa4515bae0c62bb9d8355745837270e	RENAME_FUNCTION	onEvent	afterEvent	src/core/core.legend.js:14903-15031	src/core/core.legend.js:14903-15034	TP	TP		"Rename Method 1.1.onEvent(chartInstance ,e) renamed to 1.1.afterEvent(chartInstance ,e) at src/core/core.legend.js|1.1.onEvent"	
chart-js	7756bedec6937eb7a65b7bc530dd2010d0901efe	EXTRACT_FUNCTION	getBasePixel	getBaseValue	src/core/core.scale.js:13272-13485	src/core/core.scale.js:13361-13549	TP	TP		Extract Method 1.1.getBaseValue() extracted from 1.1.getBasePixel() in  1.1 in file src/core/core.scale.js	
chart-js	7e5e29e3ee15100de599124b4951d50f3aad5f57	EXTRACT_FUNCTION	draw	fillText	src/scales/scale.radialLinear.js:9874-14784	src/scales/scale.radialLinear.js:5846-6156					
chart-js	7e5e29e3ee15100de599124b4951d50f3aad5f57	EXTRACT_FUNCTION	draw	drawPointLabels	src/scales/scale.radialLinear.js:9874-14784	src/scales/scale.radialLinear.js:6385-7881					
chart-js	7e5e29e3ee15100de599124b4951d50f3aad5f57	EXTRACT_FUNCTION	draw	drawRadiusLine	src/scales/scale.radialLinear.js:9874-14784	src/scales/scale.radialLinear.js:7884-8811					
chart-js	80bd08bef9f3447738c8fde4c0d0b436312a2cb9	RENAME_FILE	chartColors.js	utils.js	samples/chartColors.js:0-225	samples/utils.js:0-349					
chart-js	889ecd560bba46a81a29ca29d02f0691aaadc8d2	MOVE_FUNCTION	legendCallback	legendCallback	src/core/core.js:1064-1505	src/plugins/plugin.legend.js:1791-2207					
