project	commit_id	refactoring_type	location_before	name_before	location_after	name_after	rm_validation	rd_validation	comment	refactoring	Tags
chart-js	35dcfe00b1ae7199f8ed6c3748a72f4700c9876d	EXTRACT_FUNCTION	src/scales/scale.time.js:5184-11046	buildTicks	src/scales/scale.time.js:3961-4738	determineStepSize			Too Complex		
chart-js	447ca40a7f8baa2ec55f3388e02cabcfe8cbfadc	EXTRACT_FUNCTION	src/controllers/controller.bar.js:4629-5253	getStackCount	src/controllers/controller.bar.js:4691-5308	_getStacks	FN	TP	More like Rename Function		
chart-js	4a5b5a0e7eba85ca44f658375cb0c78e6af93e5c	EXTRACT_FUNCTION	test/mockContext.js:3943-5414	toBeChartOfSize	test/mockContext.js:3943-5011	toBeValidChart	TP	FN	Good RM Example	Extract Method 1.toBeValidChart() extracted from 1.toBeChartOfSize() in  1 in file test/mockContext.js	
chart-js	4b421a50bfa17f73ac7aa8db7d077e674dbc148d	EXTRACT_MOVE_FUNCTION	src/elements/element.line.js:550-5310	draw	src/core/core.canvasHelpers.js:3268-3822	lineTo	FN	TP	Difficult		
chart-js	5196e0506257c3242483c511bb558f3f96023f51	EXTRACT_MOVE_FUNCTION	src/platforms/platform.dom.js:7078-7955	releaseContext	src/helpers/helpers.core.js:643-722	isNullOrUndef	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_FUNCTION	src/core/core.helpers.js:26430-26506	clear	src/helpers/helpers.canvas.js:300-378	clear	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_FUNCTION	src/core/core.helpers.js:293-861	each	src/helpers/helpers.core.js:3433-3961	each	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_FUNCTION	src/core/core.helpers.js:29554-30016	arrayEquals	src/helpers/helpers.core.js:4242-4722	arrayEquals	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_FUNCTION	src/core/core.helpers.js:30038-30154	callback	src/helpers/helpers.core.js:2737-2857	callback	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_FUNCTION	src/core/core.helpers.js:4420-4652	getValueAtIndexOrDefault	src/helpers/helpers.core.js:2036-2293	getValueAtIndexOrDefault	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_FUNCTION	src/core/core.helpers.js:4683-4770	getValueOrDefault	src/helpers/helpers.core.js:1564-1661	getValueOrDefault	FN	TP			MC
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_RENAME_FILE	src/core/core.canvasHelpers.js:0-3995	core.canvasHelpers.js	src/helpers/helpers.canvas.js:0-6421	helpers.canvas.js	FN	TP			
chart-js	5196e0506257c3242483c511bb558f3f96023f51	MOVE_RENAME_FUNCTION	src/core/core.helpers.js:28504-29016	drawRoundedRectangle	src/helpers/helpers.canvas.js:1147-1709	roundedRect	FN	TP			MC
chart-js	548edc65ea96ac51ab17bde2942fd6f319f63e8c	EXTRACT_FUNCTION	src/platforms/platform.dom.js:7969-8480	addEventListener	src/platforms/platform.dom.js:9828-10339	addEventListener	TN	FP	MRM		MC, VN
chart-js	548edc65ea96ac51ab17bde2942fd6f319f63e8c	EXTRACT_FUNCTION	src/platforms/platform.dom.js:8506-8941	removeEventListener	src/platforms/platform.dom.js:10365-10800	removeEventListener	TN	FP	MRM		MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:12255-12285	linear	src/helpers/helpers.easing.js:154-182	linear					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:12301-12335	easeInQuad	src/helpers/helpers.easing.js:198-230	easeInQuad					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:12352-12397	easeOutQuad	src/helpers/helpers.easing.js:247-286	easeOutQuad					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:12416-12533	easeInOutQuad	src/helpers/helpers.easing.js:305-411	easeInOutQuad					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:12550-12588	easeInCubic	src/helpers/helpers.easing.js:428-464	easeInCubic					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:12606-12668	easeOutCubic	src/helpers/helpers.easing.js:482-532	easeOutCubic					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:12688-12809	easeInOutCubic	src/helpers/helpers.easing.js:552-662	easeInOutCubic					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:12826-12868	easeInQuart	src/helpers/helpers.easing.js:679-719	easeInQuart					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:12886-12953	easeOutQuart	src/helpers/helpers.easing.js:737-794	easeOutQuart					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:12973-13103	easeInOutQuart	src/helpers/helpers.easing.js:814-933	easeInOutQuart					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:13120-13177	easeInQuint	src/helpers/helpers.easing.js:950-994	easeInQuint					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:13195-13265	easeOutQuint	src/helpers/helpers.easing.js:1012-1070	easeOutQuint					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:13285-13422	easeInOutQuint	src/helpers/helpers.easing.js:1090-1216	easeInOutQuint					MC, VN
chart-js	56050dc9b7a17130efdbdcd3b8de46b728f25b84	MOVE_FUNCTION	src/core/core.helpers.js:13438-13507	easeInSine	src/helpers/helpers.easing.js:1232-1291	easeInSine					MC, VN
